Start Timestep,End Timestep,Average Episodic Return
280400,280400,14.293831
280800,280800,22.063414
281200,281600,9.505669
282000,282000,20.820152
282400,282400,16.314657
282800,282800,23.301117
283200,283600,23.34504
284000,284000,9.111547
284400,284400,38.247448
284800,284800,26.070946
285200,285600,17.231745
286000,286000,36.865074
286400,286400,35.58316
286800,287200,24.799889
287600,287600,35.78291
288000,288000,25.085598
288400,288400,33.20404
288800,289200,16.945648
289600,289600,11.600424
290000,290000,48.98461
290400,290800,28.397192
291200,291200,23.808878
291600,291600,19.562464
292000,292000,17.312847
292400,292800,15.293392
293200,293200,15.428339
293600,293600,13.503426
294000,294400,14.060846
294800,294800,20.03286
295200,295200,27.904524
295600,295600,36.552425
296000,296400,24.76387
296800,296800,18.44595
297200,297200,10.168346
297600,297600,22.460567
298000,298400,17.454199
298800,298800,12.351389
299200,299200,20.208242
299600,300000,20.855019
300400,300400,10.230312
300800,300800,32.098602
301200,301200,30.233587
301600,302000,23.257822
302400,302400,28.220415
302800,302800,17.861084
303200,303600,21.891895
304000,304000,14.589654
304400,304400,5.1757307
304800,304800,24.570305
305200,305600,6.0253525
306000,306000,33.451195
306400,306400,26.982922
306800,307200,8.993711
307600,307600,21.27818
308000,308000,13.37532
308400,308400,34.251404
308800,309200,14.863032
309600,309600,12.766718
310000,310000,22.772545
310400,310400,26.11906
310800,311200,24.685806
311600,311600,13.686722
312000,312000,25.604645
312400,312800,34.416176
313200,313200,10.688278
313600,313600,20.540745
314000,314000,28.168295
314400,314800,31.090744
315200,315200,3.3062253
315600,315600,43.052826
316000,316400,26.505175
316800,316800,27.536684
317200,317200,30.791756
317600,317600,31.342422
318000,318400,21.10773
318800,318800,17.076582
319200,319200,33.24178
319600,320000,26.307068
320400,320400,13.75976
320800,320800,30.935192
321200,321200,35.96723
321600,322000,14.956535
322400,322400,31.573055
322800,322800,32.347008
323200,323200,14.583489
323600,324000,23.54702
324400,324400,27.048634
324800,324800,13.788145
325200,325600,36.943504
326000,326000,14.431206
326400,326400,30.09999
326800,326800,3.85648
327200,327600,25.449856
328000,328000,40.048977
328400,328400,30.88637
328800,329200,25.70389
329600,329600,14.727436
330000,330000,24.342676
330400,330400,11.436429
330800,331200,19.831406
331600,331600,17.744976
332000,332000,9.063042
332400,332800,23.883347
333200,333200,18.668598
333600,333600,22.87533
334000,334000,38.11207
334400,334800,23.639526
335200,335200,19.840881
335600,335600,31.51588
336000,336000,10.592638
336400,336800,31.701626
337200,337200,34.433826
337600,337600,18.775173
338000,338400,13.040985
338800,338800,28.778618
339200,339200,38.27129
339600,339600,25.236765
340000,340400,41.310825
340800,340800,20.523306
341200,341200,31.651869
341600,342000,26.250742
342400,342400,29.1199
342800,342800,44.92265
343200,343200,21.917992
343600,344000,34.947
344400,344400,21.52015
344800,344800,23.378063
345200,345600,28.582306
346000,346000,15.907158
346400,346400,12.519838
346800,346800,26.525293
347200,347600,31.286308
348000,348000,31.824799
348400,348400,27.764961
348800,348800,15.616528
349200,349600,32.60739
350000,350000,13.093296
350400,350400,35.997307
350800,351200,20.644337
351600,351600,42.590706
352000,352000,35.606987
352400,352400,32.288994
352800,353200,32.889687
353600,353600,36.851353
354000,354000,15.243781
354400,354800,41.05947
355200,355200,14.841261
355600,355600,22.121273
356000,356000,26.20636
356400,356800,22.378635
357200,357200,16.84974
357600,357600,26.887552
358000,358400,28.027426
358800,358800,10.909895
359200,359200,27.087234
359600,359600,19.685448
360000,360400,28.346466
360800,360800,11.956722
361200,361200,20.188162
361600,361600,14.112358
362000,362400,22.550518
362800,362800,21.80834
363200,363200,31.483707
363600,364000,42.06237
364400,364400,26.026981
364800,364800,8.824099
365200,365200,18.657917
365600,366000,28.946297
366400,366400,36.34491
366800,366800,7.6677113
367200,367600,27.063051
368000,368000,34.743694
368400,368400,26.425846
368800,368800,15.915678
369200,369600,36.9057
370000,370000,18.510727
370400,370400,24.736668
370800,371200,21.468906
371600,371600,14.042148
372000,372000,30.140087
372400,372400,4.842474
372800,373200,20.596413
373600,373600,34.539516
374000,374000,19.04644
374400,374400,26.665466
374800,375200,15.163915
375600,375600,21.221127
376000,376000,8.67436
376400,376800,25.690212
377200,377200,13.389917
377600,377600,12.151159
378000,378000,25.631744
378400,378800,17.988243
379200,379200,6.955996
379600,379600,12.306946
380000,380400,19.525537
380800,380800,12.828007
381200,381200,13.13218
381600,381600,14.209664
382000,382400,20.081669
382800,382800,20.732094
383200,383200,14.805227
383600,384000,21.63156
384400,384400,29.904182
384800,384800,15.609617
385200,385200,5.3005056
385600,386000,25.167467
386400,386400,6.036092
386800,386800,7.564947
387200,387200,9.2867155
387600,388000,13.296072
388400,388400,13.370159
388800,388800,13.180342
389200,389600,15.697574
390000,390000,14.579569
390400,390400,13.341813
390800,390800,7.119522
391200,391600,20.03102
392000,392000,15.86573
392400,392400,35.491955
392800,393200,14.749752
393600,393600,16.794373
394000,394000,21.333076
394400,394400,26.924759
394800,395200,39.62623
395600,395600,21.21831
396000,396000,1.6737286
396400,396800,24.793835
397200,397200,28.857555
397600,397600,11.377689
398000,398000,28.477219
398400,398800,18.912481
399200,399200,21.968046
399600,399600,20.301077
400000,400000,17.627129
400400,400800,14.641714
401200,401200,17.748985
401600,401600,24.898746
402000,402400,26.253178
402800,402800,23.461918
403200,403200,26.47361
403600,403600,22.641983
404000,404400,21.139914
404800,404800,13.427868
405200,405200,22.091694
405600,406000,13.479306
406400,406400,23.03917
406800,406800,26.884487
407200,407200,9.105347
407600,408000,24.073944
408400,408400,29.80997
408800,408800,25.733
409200,409600,22.073498
410000,410000,36.75421
410400,410400,29.025227
410800,410800,23.879812
411200,411600,28.21598
412000,412000,44.525955
412400,412400,24.846336
412800,412800,35.89264
413200,413600,19.892359
414000,414000,44.852196
414400,414400,21.70845
414800,415200,26.344257
415600,415600,14.788607
416000,416000,50.644447
416400,416400,41.794655
416800,417200,23.655472
417600,417600,35.288685
418000,418000,36.385735
418400,418800,22.61034
419200,419200,20.935371
419600,419600,33.47839
420000,420000,6.955805
420400,420800,26.10082
421200,421200,30.76493
421600,421600,42.03797
422000,422400,30.109352
422800,422800,25.23576
423200,423200,25.477953
423600,423600,28.424072
424000,424400,37.930023
424800,424800,11.675056
425200,425200,29.408068
425600,425600,16.51996
426000,426400,39.606686
426800,426800,27.378456
427200,427200,13.177067
427600,428000,22.571775
428400,428400,24.536615
428800,428800,14.337242
429200,429200,17.13045
429600,430000,31.293243
430400,430400,22.00673
430800,430800,34.175743
431200,431600,23.530022
432000,432000,31.749016
432400,432400,26.894217
432800,432800,10.997934
433200,433600,13.844423
434000,434000,23.619186
434400,434400,16.73914
434800,435200,27.663445
435600,435600,20.008884
436000,436000,29.962292
436400,436400,17.292475
436800,437200,22.147326
437600,437600,10.5169525
438000,438000,26.051273
438400,438400,29.266216
438800,439200,29.693928
439600,439600,36.92019
440000,440000,50.905697
440400,440800,38.62019
441200,441200,40.174587
441600,441600,32.134396
442000,442000,10.713208
442400,442800,28.520805
443200,443200,29.21846
443600,443600,23.299522
444000,444400,10.973846
444800,444800,24.968767
445200,445200,49.66369
445600,445600,40.531116
446000,446400,38.908665
446800,446800,25.108803
447200,447200,15.347455
447600,448000,22.507156
448400,448400,40.679237
448800,448800,18.510288
449200,449200,25.767105
449600,450000,40.829353
450400,450400,20.851898
450800,450800,30.853912
451200,451200,20.913311
451600,452000,26.610064
452400,452400,14.925622
452800,452800,23.393154
453200,453600,12.784649
454000,454000,14.345208
454400,454400,17.888136
454800,454800,27.411964
455200,455600,22.096106
456000,456000,28.30074
456400,456400,43.00209
456800,457200,21.355232
457600,457600,17.548384
458000,458000,17.411701
458400,458400,17.084505
458800,459200,27.915104
459600,459600,44.01259
460000,460000,29.34486
460400,460800,44.38936
461200,461200,9.769519
461600,461600,30.42068
462000,462000,11.771549
462400,462800,35.70198
463200,463200,20.189907
463600,463600,57.642014
464000,464000,43.277584
464400,464800,32.415398
465200,465200,29.357086
465600,465600,42.255653
466000,466400,24.27494
466800,466800,35.35378
467200,467200,27.569847
467600,467600,39.096153
468000,468400,33.5102
468800,468800,22.278873
469200,469200,35.903843
469600,470000,18.18491
470400,470400,45.960205
470800,470800,50.184155
471200,471200,31.168158
471600,472000,11.222015
472400,472400,32.121128
472800,472800,31.544529
473200,473600,24.237143
474000,474000,32.333
474400,474400,29.540598
474800,474800,37.65065
475200,475600,25.426987
476000,476000,19.922012
476400,476400,26.587797
476800,476800,15.934195
477200,477600,40.249153
478000,478000,36.30288
478400,478400,15.097338
478800,479200,17.722359
479600,479600,45.05368
480000,480000,28.029871
480400,480400,18.773264
480800,481200,22.238407
481600,481600,16.90001
482000,482000,34.99897
482400,482800,21.223331
483200,483200,14.205561
483600,483600,24.619785
484000,484000,22.985
484400,484800,20.40002
485200,485200,15.645746
485600,485600,36.59773
486000,486400,25.84022
486800,486800,22.316837
487200,487200,24.87024
487600,487600,17.98832
488000,488400,22.351858
488800,488800,24.350132
489200,489200,33.71807
489600,489600,28.122221
490000,490400,14.957062
490800,490800,26.442738
491200,491200,9.334953
491600,492000,23.35597
492400,492400,18.770262
492800,492800,19.898388
493200,493200,38.294
493600,494000,14.878502
494400,494400,45.17446
494800,494800,32.009853
495200,495600,26.716097
496000,496000,11.53648
496400,496400,27.00013
496800,496800,16.215683
497200,497600,24.814571
498000,498000,44.48579
498400,498400,27.191898
498800,499200,9.6847515
499600,499600,20.749464
500000,500000,15.619255
500400,500400,26.847889
500800,501200,24.479956
501600,501600,12.191722
502000,502000,21.262873
502400,502400,24.055244
502800,503200,26.784554
503600,503600,14.481113
504000,504000,23.975431
504400,504800,18.965343
505200,505200,19.041462
505600,505600,34.22539
506000,506000,34.507004
506400,506800,30.393772
507200,507200,11.259588
507600,507600,24.096863
508000,508400,23.88836
508800,508800,27.750782
509200,509200,24.818228
509600,509600,30.657486
510000,510400,30.296627
510800,510800,24.817307
511200,511200,36.39105
511600,512000,31.181442
512400,512400,19.004261
512800,512800,34.22561
513200,513200,28.547058
513600,514000,17.169987
514400,514400,26.983585
514800,514800,24.869873
515200,515200,42.38437
515600,516000,28.250885
516400,516400,46.093807
516800,516800,27.068941
517200,517600,40.24913
518000,518000,38.75922
518400,518400,33.226044
518800,518800,28.40958
