Start Timestep,End Timestep,Average Episodic Return
224400,224400,20.943787
224800,225200,31.895912
225600,225600,21.936733
226000,226000,41.86345
226400,226800,25.41666
227200,227200,11.379229
227600,227600,39.727306
228000,228000,22.547308
228400,228800,24.995506
229200,229200,15.874817
229600,229600,42.162666
230000,230400,22.743818
230800,230800,24.069838
231200,231200,32.133793
231600,231600,27.738514
232000,232400,28.499306
232800,232800,20.498493
233200,233200,20.69664
233600,233600,17.075014
234000,234400,15.561955
234800,234800,21.459278
235200,235200,14.233374
235600,236000,40.6411
236400,236400,17.144037
236800,236800,19.028278
237200,237200,29.485163
237600,238000,21.183788
238400,238400,6.9997597
238800,238800,44.97351
239200,239600,28.093382
240000,240000,24.207344
240400,240400,29.359324
240800,240800,19.5511
241200,241600,30.56336
242000,242000,20.446959
242400,242400,9.199825
242800,243200,15.265371
243600,243600,3.9778385
244000,244000,9.783588
244400,244400,15.955229
244800,245200,27.847778
245600,245600,25.215467
246000,246000,32.285774
246400,246400,28.54664
246800,247200,26.498848
247600,247600,26.443445
248000,248000,36.07716
248400,248800,34.555935
249200,249200,12.425913
249600,249600,19.274107
250000,250000,33.41911
250400,250800,38.785103
251200,251200,12.054552
251600,251600,20.857134
252000,252400,31.47522
252800,252800,26.725273
253200,253200,16.73167
253600,253600,30.844162
254000,254400,23.05862
254800,254800,41.54097
255200,255200,32.859726
255600,256000,24.95173
256400,256400,41.295677
256800,256800,49.04479
257200,257200,20.168036
257600,258000,28.051315
258400,258400,17.899584
258800,258800,28.009525
259200,259200,30.827063
259600,260000,32.89144
260400,260400,20.389362
260800,260800,35.877052
261200,261600,11.045969
262000,262000,32.742935
262400,262400,33.97174
262800,262800,46.538338
263200,263600,15.127303
264000,264000,38.769505
264400,264400,26.447884
264800,265200,40.34536
265600,265600,50.171608
266000,266000,23.010204
266400,266400,14.603025
266800,267200,31.752268
267600,267600,50.617935
268000,268000,14.838654
268400,268800,19.154652
269200,269200,17.37571
269600,269600,27.65718
270000,270000,13.901899
270400,270800,16.020727
271200,271200,8.485739
271600,271600,17.843245
272000,272000,29.595612
272400,272800,25.30516
273200,273200,8.718466
273600,273600,32.99897
274000,274400,29.368673
274800,274800,17.223091
275200,275200,33.560616
275600,275600,14.036156
276000,276400,27.166641
276800,276800,22.004137
277200,277200,22.22329
277600,278000,17.743471
278400,278400,17.71586
278800,278800,27.159803
279200,279200,29.504614
279600,280000,20.491444
280400,280400,36.829147
280800,280800,18.039722
281200,281600,20.262312
282000,282000,22.201904
282400,282400,25.284418
282800,282800,14.715729
283200,283600,18.307726
284000,284000,3.1044235
284400,284400,23.98162
284800,284800,34.80481
285200,285600,20.461159
286000,286000,32.696922
286400,286400,21.1517
286800,287200,20.89085
287600,287600,38.079422
288000,288000,14.667183
288400,288400,24.467283
288800,289200,34.300262
289600,289600,3.499905
290000,290000,42.94867
