## SLURM PROLOG ###############################################################
##    Job ID : 8517581
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:01:27 PM EST 2025
###############################################################################
obs (49,)
timesteps=1109032 - 1109992, avg episodic return=9.66
timesteps=1110056 - 1110920, avg episodic return=10.48
timesteps=1110024 - 1110984, avg episodic return=10.29
timesteps=1110024 - 1111016, avg episodic return=10.00
timesteps=1110024 - 1110984, avg episodic return=10.00
timesteps=1110088 - 1110984, avg episodic return=10.00
timesteps=1111048 - 1112040, avg episodic return=10.37
timesteps=1111048 - 1112008, avg episodic return=10.00
timesteps=1111048 - 1112040, avg episodic return=10.00
timesteps=1111048 - 1112040, avg episodic return=10.00
timesteps=1111048 - 1112040, avg episodic return=10.00
timesteps=1112072 - 1113064, avg episodic return=10.00
timesteps=1112072 - 1113032, avg episodic return=10.00
timesteps=1112072 - 1113064, avg episodic return=10.00
timesteps=1112072 - 1113064, avg episodic return=10.00
timesteps=1112136 - 1113032, avg episodic return=10.00
timesteps=1113160 - 1113928, avg episodic return=10.00
timesteps=1113128 - 1114088, avg episodic return=10.00
timesteps=1113096 - 1114088, avg episodic return=10.00
timesteps=1113192 - 1114088, avg episodic return=10.00
timesteps=1113096 - 1114056, avg episodic return=10.00
timesteps=1114120 - 1115080, avg episodic return=10.00
timesteps=1114120 - 1115080, avg episodic return=10.30
timesteps=1114120 - 1115080, avg episodic return=10.00
timesteps=1114120 - 1115112, avg episodic return=10.00
timesteps=1114120 - 1115112, avg episodic return=10.00
timesteps=1115240 - 1116104, avg episodic return=9.55
timesteps=1115144 - 1116136, avg episodic return=10.00
timesteps=1115176 - 1116136, avg episodic return=10.00
timesteps=1115144 - 1116136, avg episodic return=10.00
timesteps=1115144 - 1116136, avg episodic return=9.68
timesteps=1116168 - 1117160, avg episodic return=10.00
timesteps=1116168 - 1117096, avg episodic return=10.00
timesteps=1116168 - 1117128, avg episodic return=10.00
timesteps=1116200 - 1117128, avg episodic return=10.00
timesteps=1116168 - 1117128, avg episodic return=9.57
timesteps=1117352 - 1118152, avg episodic return=10.00
timesteps=1117192 - 1118184, avg episodic return=10.28
timesteps=1117192 - 1118184, avg episodic return=10.00
timesteps=1117224 - 1118152, avg episodic return=10.00
timesteps=1117224 - 1118184, avg episodic return=10.00
timesteps=1118344 - 1119176, avg episodic return=9.50
timesteps=1118216 - 1119208, avg episodic return=10.00
timesteps=1118248 - 1119208, avg episodic return=10.00
timesteps=1118376 - 1119112, avg episodic return=10.00
timesteps=1118216 - 1119144, avg episodic return=10.00
timesteps=1119272 - 1120232, avg episodic return=9.55
timesteps=1119368 - 1120232, avg episodic return=10.00
timesteps=1119240 - 1120200, avg episodic return=10.00
timesteps=1119240 - 1120232, avg episodic return=10.00
timesteps=1119240 - 1120232, avg episodic return=10.00
timesteps=1120392 - 1121224, avg episodic return=9.41
timesteps=1120360 - 1121224, avg episodic return=10.36
timesteps=1120296 - 1121224, avg episodic return=10.00
timesteps=1120264 - 1121224, avg episodic return=10.00
timesteps=1120264 - 1121256, avg episodic return=10.00
timesteps=1121384 - 1122280, avg episodic return=10.53
timesteps=1121320 - 1122280, avg episodic return=10.00
timesteps=1121320 - 1122280, avg episodic return=10.00
timesteps=1121384 - 1122248, avg episodic return=10.00
timesteps=1121288 - 1122248, avg episodic return=10.00
timesteps=1122408 - 1123144, avg episodic return=10.00
timesteps=1122408 - 1123304, avg episodic return=9.60
timesteps=1122312 - 1123304, avg episodic return=10.00
timesteps=1122312 - 1123304, avg episodic return=10.00
timesteps=1122344 - 1123304, avg episodic return=10.00
timesteps=1123368 - 1124328, avg episodic return=10.00
timesteps=1123336 - 1124328, avg episodic return=10.00
timesteps=1123336 - 1124232, avg episodic return=10.00
timesteps=1123336 - 1124328, avg episodic return=10.00
timesteps=1123432 - 1124328, avg episodic return=10.00
timesteps=1124360 - 1125320, avg episodic return=10.00
timesteps=1124488 - 1125352, avg episodic return=10.00
timesteps=1124360 - 1125320, avg episodic return=10.00
timesteps=1124360 - 1125288, avg episodic return=10.00
timesteps=1124360 - 1125320, avg episodic return=10.00
timesteps=1125416 - 1126376, avg episodic return=10.62
timesteps=1125512 - 1126376, avg episodic return=10.00
timesteps=1125384 - 1126344, avg episodic return=10.00
timesteps=1125416 - 1126376, avg episodic return=10.43
timesteps=1125384 - 1126344, avg episodic return=10.00
timesteps=1126408 - 1127400, avg episodic return=9.55
timesteps=1126408 - 1127368, avg episodic return=10.00
timesteps=1126440 - 1127400, avg episodic return=10.00
timesteps=1126408 - 1127400, avg episodic return=10.00
timesteps=1126408 - 1127400, avg episodic return=9.76
timesteps=1127496 - 1128328, avg episodic return=9.38
timesteps=1127432 - 1128392, avg episodic return=10.00
timesteps=1127432 - 1128392, avg episodic return=10.23
timesteps=1127432 - 1128360, avg episodic return=10.00
timesteps=1127496 - 1128424, avg episodic return=10.00
timesteps=1128456 - 1129448, avg episodic return=10.00
timesteps=1128456 - 1129448, avg episodic return=9.57
timesteps=1128488 - 1129448, avg episodic return=10.00
timesteps=1128488 - 1129448, avg episodic return=10.00
timesteps=1128488 - 1129320, avg episodic return=10.36
timesteps=1129480 - 1130216, avg episodic return=10.67
timesteps=1129512 - 1130472, avg episodic return=10.00
timesteps=1129480 - 1130440, avg episodic return=10.00
timesteps=1129480 - 1130440, avg episodic return=10.00
timesteps=1129480 - 1130472, avg episodic return=10.26
timesteps=1130504 - 1131496, avg episodic return=10.00
timesteps=1130568 - 1131496, avg episodic return=10.00
timesteps=1130504 - 1131464, avg episodic return=10.00
timesteps=1130504 - 1131432, avg episodic return=10.00
timesteps=1130600 - 1131496, avg episodic return=10.00
timesteps=1131528 - 1132520, avg episodic return=10.00
timesteps=1131624 - 1132488, avg episodic return=8.57
timesteps=1131560 - 1132488, avg episodic return=10.00
timesteps=1131528 - 1132520, avg episodic return=10.00
timesteps=1131528 - 1132520, avg episodic return=10.00
timesteps=1132584 - 1133320, avg episodic return=10.00
timesteps=1132552 - 1133544, avg episodic return=9.74
timesteps=1132552 - 1133544, avg episodic return=10.00
timesteps=1132584 - 1133544, avg episodic return=10.00
timesteps=1132552 - 1133544, avg episodic return=10.00
timesteps=1133768 - 1134568, avg episodic return=9.47
timesteps=1133608 - 1134568, avg episodic return=10.00
timesteps=1133576 - 1134568, avg episodic return=10.00
timesteps=1133640 - 1134504, avg episodic return=10.00
timesteps=1133576 - 1134504, avg episodic return=10.00
timesteps=1134664 - 1135592, avg episodic return=10.00
timesteps=1134600 - 1135560, avg episodic return=10.00
timesteps=1134664 - 1135592, avg episodic return=10.00
timesteps=1134600 - 1135528, avg episodic return=10.00
timesteps=1134600 - 1135528, avg episodic return=10.00
timesteps=1135656 - 1136520, avg episodic return=10.59
timesteps=1135624 - 1136616, avg episodic return=10.34
timesteps=1135624 - 1136616, avg episodic return=10.00
timesteps=1135624 - 1136616, avg episodic return=10.00
timesteps=1135720 - 1136616, avg episodic return=10.00
timesteps=1136712 - 1137576, avg episodic return=10.00
timesteps=1136648 - 1137640, avg episodic return=10.29
timesteps=1136648 - 1137576, avg episodic return=10.00
timesteps=1136680 - 1137640, avg episodic return=10.00
timesteps=1136648 - 1137640, avg episodic return=10.00
timesteps=1137704 - 1138536, avg episodic return=9.47
timesteps=1137672 - 1138664, avg episodic return=10.00
timesteps=1137672 - 1138664, avg episodic return=10.00
timesteps=1137672 - 1138632, avg episodic return=10.00
timesteps=1137672 - 1138600, avg episodic return=10.00
timesteps=1138760 - 1139688, avg episodic return=9.50
timesteps=1138696 - 1139688, avg episodic return=9.63
timesteps=1138792 - 1139688, avg episodic return=10.00
timesteps=1138760 - 1139624, avg episodic return=10.00
timesteps=1138696 - 1139592, avg episodic return=10.00
timesteps=1139752 - 1140712, avg episodic return=9.41
timesteps=1139720 - 1140648, avg episodic return=10.00
timesteps=1139720 - 1140712, avg episodic return=10.00
timesteps=1139752 - 1140680, avg episodic return=10.00
timesteps=1139720 - 1140712, avg episodic return=10.00
timesteps=1140776 - 1141672, avg episodic return=10.00
timesteps=1140808 - 1141736, avg episodic return=10.00
timesteps=1140776 - 1141736, avg episodic return=10.00
timesteps=1140776 - 1141736, avg episodic return=10.00
timesteps=1140744 - 1141736, avg episodic return=10.00
timesteps=1141960 - 1142728, avg episodic return=10.43
timesteps=1141768 - 1142728, avg episodic return=10.00
timesteps=1141768 - 1142728, avg episodic return=10.00
timesteps=1141800 - 1142760, avg episodic return=10.00
timesteps=1141768 - 1142760, avg episodic return=10.26
timesteps=1142792 - 1143784, avg episodic return=10.50
timesteps=1142792 - 1143784, avg episodic return=10.00
timesteps=1142792 - 1143784, avg episodic return=10.00
timesteps=1142792 - 1143720, avg episodic return=10.00
timesteps=1142792 - 1143784, avg episodic return=10.20
timesteps=1143848 - 1144808, avg episodic return=9.52
timesteps=1143816 - 1144808, avg episodic return=9.58
timesteps=1143816 - 1144808, avg episodic return=10.00
timesteps=1143816 - 1144776, avg episodic return=10.43
timesteps=1143816 - 1144808, avg episodic return=10.00
timesteps=1144872 - 1145736, avg episodic return=10.00
timesteps=1144872 - 1145800, avg episodic return=10.00
timesteps=1144872 - 1145832, avg episodic return=10.00
timesteps=1144840 - 1145800, avg episodic return=10.00
timesteps=1144872 - 1145832, avg episodic return=10.00
timesteps=1145864 - 1146856, avg episodic return=10.50
timesteps=1145896 - 1146792, avg episodic return=10.00
timesteps=1145928 - 1146856, avg episodic return=10.00
timesteps=1145864 - 1146824, avg episodic return=10.00
timesteps=1145928 - 1146856, avg episodic return=10.00
timesteps=1147016 - 1147848, avg episodic return=10.53
timesteps=1146888 - 1147880, avg episodic return=10.00
timesteps=1146920 - 1147880, avg episodic return=10.00
timesteps=1146920 - 1147880, avg episodic return=10.00
timesteps=1146888 - 1147880, avg episodic return=10.00
timesteps=1147912 - 1148872, avg episodic return=10.00
timesteps=1147912 - 1148808, avg episodic return=10.00
timesteps=1147912 - 1148904, avg episodic return=10.00
timesteps=1147912 - 1148872, avg episodic return=10.00
timesteps=1147912 - 1148840, avg episodic return=10.00
timesteps=1149000 - 1149928, avg episodic return=10.45
timesteps=1148936 - 1149896, avg episodic return=10.00
timesteps=1148968 - 1149928, avg episodic return=10.00
timesteps=1148968 - 1149928, avg episodic return=10.00
timesteps=1148968 - 1149928, avg episodic return=10.00
timesteps=1149960 - 1150952, avg episodic return=9.60
timesteps=1150024 - 1150952, avg episodic return=10.00
timesteps=1149960 - 1150920, avg episodic return=10.00
timesteps=1149960 - 1150952, avg episodic return=10.00
timesteps=1149960 - 1150952, avg episodic return=10.00
timesteps=1150984 - 1151944, avg episodic return=10.00
timesteps=1150984 - 1151976, avg episodic return=10.00
timesteps=1150984 - 1151976, avg episodic return=10.00
timesteps=1150984 - 1151880, avg episodic return=10.00
timesteps=1150984 - 1151944, avg episodic return=10.00
timesteps=1152008 - 1153000, avg episodic return=10.00
timesteps=1152008 - 1153000, avg episodic return=10.00
timesteps=1152008 - 1153000, avg episodic return=10.00
timesteps=1152008 - 1153000, avg episodic return=10.00
timesteps=1152008 - 1153000, avg episodic return=10.00
timesteps=1153032 - 1154024, avg episodic return=10.00
timesteps=1153064 - 1153928, avg episodic return=9.66
timesteps=1153032 - 1154024, avg episodic return=10.00
timesteps=1153064 - 1153992, avg episodic return=10.00
timesteps=1153032 - 1154024, avg episodic return=9.70
timesteps=1154056 - 1155016, avg episodic return=10.00
timesteps=1154088 - 1155048, avg episodic return=10.00
timesteps=1154088 - 1155016, avg episodic return=10.00
timesteps=1154088 - 1155048, avg episodic return=10.00
timesteps=1154056 - 1155016, avg episodic return=10.00
timesteps=1155112 - 1156072, avg episodic return=9.63
timesteps=1155144 - 1156072, avg episodic return=10.00
timesteps=1155080 - 1156072, avg episodic return=10.00
timesteps=1155080 - 1156072, avg episodic return=10.33
timesteps=1155080 - 1156072, avg episodic return=10.25
timesteps=1156104 - 1157096, avg episodic return=9.58
timesteps=1156168 - 1157096, avg episodic return=10.00
timesteps=1156104 - 1157064, avg episodic return=10.00
timesteps=1156104 - 1157064, avg episodic return=10.00
timesteps=1156104 - 1157096, avg episodic return=10.23
timesteps=1157160 - 1158120, avg episodic return=9.60
timesteps=1157160 - 1158056, avg episodic return=10.00
timesteps=1157160 - 1158088, avg episodic return=10.00
timesteps=1157224 - 1158120, avg episodic return=10.00
timesteps=1157128 - 1158088, avg episodic return=10.00
timesteps=1158152 - 1159112, avg episodic return=10.00
timesteps=1158248 - 1159112, avg episodic return=10.00
timesteps=1158152 - 1159144, avg episodic return=10.00
timesteps=1158184 - 1159112, avg episodic return=10.00
timesteps=1158216 - 1159144, avg episodic return=10.00
timesteps=1159176 - 1160168, avg episodic return=10.00
timesteps=1159176 - 1160136, avg episodic return=9.74
timesteps=1159176 - 1160168, avg episodic return=10.00
timesteps=1159496 - 1160168, avg episodic return=10.00
timesteps=1159176 - 1160168, avg episodic return=9.71
timesteps=1160328 - 1161128, avg episodic return=9.52
timesteps=1160200 - 1161192, avg episodic return=10.00
timesteps=1160264 - 1161192, avg episodic return=10.00
timesteps=1160264 - 1161160, avg episodic return=10.00
timesteps=1160200 - 1161160, avg episodic return=10.00
timesteps=1161224 - 1162152, avg episodic return=10.67
timesteps=1161224 - 1162152, avg episodic return=10.40
timesteps=1161224 - 1162216, avg episodic return=10.00
timesteps=1161256 - 1162216, avg episodic return=10.38
timesteps=1161224 - 1162216, avg episodic return=10.00
timesteps=1162248 - 1163240, avg episodic return=10.00
timesteps=1162280 - 1163240, avg episodic return=10.00
timesteps=1162280 - 1163240, avg episodic return=10.00
timesteps=1162248 - 1163208, avg episodic return=10.00
timesteps=1162280 - 1163240, avg episodic return=10.45
timesteps=1163304 - 1164232, avg episodic return=10.00
timesteps=1163272 - 1164264, avg episodic return=10.27
timesteps=1163272 - 1164232, avg episodic return=10.00
timesteps=1163400 - 1164232, avg episodic return=10.00
timesteps=1163272 - 1164264, avg episodic return=10.00
timesteps=1164296 - 1165096, avg episodic return=10.00
timesteps=1164296 - 1165224, avg episodic return=10.00
timesteps=1164296 - 1165256, avg episodic return=10.00
timesteps=1164424 - 1165256, avg episodic return=10.00
timesteps=1164296 - 1165288, avg episodic return=10.00
timesteps=1165320 - 1166312, avg episodic return=10.00
timesteps=1165320 - 1166248, avg episodic return=10.00
timesteps=1165352 - 1166248, avg episodic return=10.00
timesteps=1165384 - 1166312, avg episodic return=10.00
timesteps=1165320 - 1166280, avg episodic return=10.00
timesteps=1166344 - 1167336, avg episodic return=10.00
timesteps=1166408 - 1167336, avg episodic return=10.40
timesteps=1166344 - 1167304, avg episodic return=10.00
timesteps=1166376 - 1167176, avg episodic return=10.00
timesteps=1166376 - 1167336, avg episodic return=10.00
timesteps=1167368 - 1168360, avg episodic return=10.00
timesteps=1167368 - 1168360, avg episodic return=10.00
timesteps=1167368 - 1168360, avg episodic return=10.00
timesteps=1167368 - 1168328, avg episodic return=10.00
timesteps=1167464 - 1168360, avg episodic return=10.00
timesteps=1168392 - 1169352, avg episodic return=10.00
timesteps=1168488 - 1169384, avg episodic return=10.31
timesteps=1168392 - 1169352, avg episodic return=10.00
timesteps=1168392 - 1169384, avg episodic return=10.00
timesteps=1168488 - 1169384, avg episodic return=10.00
timesteps=1169448 - 1170408, avg episodic return=10.00
timesteps=1169448 - 1170408, avg episodic return=10.00
timesteps=1169416 - 1170408, avg episodic return=10.00
timesteps=1169416 - 1170408, avg episodic return=10.00
timesteps=1169448 - 1170408, avg episodic return=10.23
timesteps=1170536 - 1171432, avg episodic return=10.00
timesteps=1170440 - 1171432, avg episodic return=10.00
timesteps=1170440 - 1171432, avg episodic return=10.00
timesteps=1170440 - 1171432, avg episodic return=10.00
timesteps=1170440 - 1171432, avg episodic return=10.00
timesteps=1171464 - 1172424, avg episodic return=10.00
timesteps=1171464 - 1172456, avg episodic return=10.00
timesteps=1171464 - 1172456, avg episodic return=10.00
timesteps=1171528 - 1172456, avg episodic return=10.00
timesteps=1171464 - 1172456, avg episodic return=10.00
timesteps=1172488 - 1173384, avg episodic return=10.00
timesteps=1172488 - 1173480, avg episodic return=10.00
timesteps=1172488 - 1173480, avg episodic return=10.00
timesteps=1172488 - 1173480, avg episodic return=10.00
timesteps=1172488 - 1173480, avg episodic return=10.00
timesteps=1173512 - 1174504, avg episodic return=10.00
timesteps=1173512 - 1174504, avg episodic return=10.00
timesteps=1173512 - 1174504, avg episodic return=10.00
timesteps=1173544 - 1174440, avg episodic return=10.00
timesteps=1173512 - 1174504, avg episodic return=10.00
timesteps=1174568 - 1175464, avg episodic return=11.43
timesteps=1174536 - 1175528, avg episodic return=10.00
timesteps=1174536 - 1175528, avg episodic return=10.00
timesteps=1174568 - 1175464, avg episodic return=9.63
timesteps=1174536 - 1175528, avg episodic return=10.00
timesteps=1175624 - 1176552, avg episodic return=9.55
timesteps=1175560 - 1176520, avg episodic return=10.00
timesteps=1175560 - 1176552, avg episodic return=10.00
timesteps=1175560 - 1176552, avg episodic return=10.00
timesteps=1175592 - 1176520, avg episodic return=10.00
timesteps=1176616 - 1177448, avg episodic return=10.00
timesteps=1176584 - 1177544, avg episodic return=10.00
timesteps=1176584 - 1177544, avg episodic return=10.00
timesteps=1176616 - 1177576, avg episodic return=10.45
timesteps=1176584 - 1177576, avg episodic return=10.00
timesteps=1177608 - 1178504, avg episodic return=10.00
timesteps=1177672 - 1178600, avg episodic return=10.00
timesteps=1177608 - 1178600, avg episodic return=10.00
timesteps=1177640 - 1178568, avg episodic return=10.00
timesteps=1177608 - 1178600, avg episodic return=10.00
timesteps=1178632 - 1179592, avg episodic return=10.00
timesteps=1178632 - 1179624, avg episodic return=10.00
timesteps=1178632 - 1179592, avg episodic return=10.00
timesteps=1178632 - 1179624, avg episodic return=10.00
timesteps=1178696 - 1179624, avg episodic return=10.00
timesteps=1179656 - 1180616, avg episodic return=10.77
timesteps=1179656 - 1180584, avg episodic return=10.69
timesteps=1179688 - 1180584, avg episodic return=10.00
timesteps=1179656 - 1180648, avg episodic return=10.00
timesteps=1179656 - 1180648, avg episodic return=10.00
timesteps=1180680 - 1181672, avg episodic return=9.62
timesteps=1180680 - 1181672, avg episodic return=10.34
timesteps=1180680 - 1181672, avg episodic return=10.00
timesteps=1180680 - 1181672, avg episodic return=10.00
timesteps=1180680 - 1181640, avg episodic return=10.00
timesteps=1181768 - 1182600, avg episodic return=10.00
timesteps=1181704 - 1182696, avg episodic return=10.00
timesteps=1181736 - 1182696, avg episodic return=10.00
timesteps=1181704 - 1182696, avg episodic return=9.52
timesteps=1181704 - 1182696, avg episodic return=10.00
timesteps=1182824 - 1183656, avg episodic return=10.00
timesteps=1182792 - 1183720, avg episodic return=10.00
timesteps=1182728 - 1183720, avg episodic return=10.00
timesteps=1182728 - 1183464, avg episodic return=10.00
timesteps=1182728 - 1183720, avg episodic return=10.00
timesteps=1183816 - 1184680, avg episodic return=10.00
timesteps=1183752 - 1184744, avg episodic return=10.00
timesteps=1183752 - 1184744, avg episodic return=10.00
timesteps=1183752 - 1184680, avg episodic return=10.00
timesteps=1183752 - 1184712, avg episodic return=10.00
timesteps=1184776 - 1185768, avg episodic return=10.32
timesteps=1184776 - 1185768, avg episodic return=10.00
timesteps=1184776 - 1185768, avg episodic return=10.00
timesteps=1184840 - 1185672, avg episodic return=10.00
timesteps=1184776 - 1185768, avg episodic return=10.00
timesteps=1185800 - 1186792, avg episodic return=10.00
timesteps=1185800 - 1186728, avg episodic return=10.00
timesteps=1185832 - 1186728, avg episodic return=10.00
timesteps=1185800 - 1186696, avg episodic return=10.00
timesteps=1185800 - 1186728, avg episodic return=10.00
timesteps=1186824 - 1187752, avg episodic return=10.00
timesteps=1186824 - 1187816, avg episodic return=10.00
timesteps=1186824 - 1187816, avg episodic return=10.00
timesteps=1186920 - 1187752, avg episodic return=10.00
timesteps=1186824 - 1187816, avg episodic return=10.00
timesteps=1187848 - 1188840, avg episodic return=10.00
timesteps=1187848 - 1188808, avg episodic return=10.00
timesteps=1187848 - 1188776, avg episodic return=10.00
timesteps=1187848 - 1188840, avg episodic return=9.62
timesteps=1187880 - 1188840, avg episodic return=10.00
timesteps=1188936 - 1189736, avg episodic return=9.60
timesteps=1188936 - 1189832, avg episodic return=10.00
timesteps=1188872 - 1189864, avg episodic return=10.00
timesteps=1188968 - 1189832, avg episodic return=10.00
timesteps=1188872 - 1189864, avg episodic return=10.00
timesteps=1189928 - 1190888, avg episodic return=10.00
timesteps=1189896 - 1190888, avg episodic return=10.00
timesteps=1189896 - 1190888, avg episodic return=10.00
timesteps=1189928 - 1190792, avg episodic return=10.00
timesteps=1189896 - 1190888, avg episodic return=10.00
timesteps=1191048 - 1191880, avg episodic return=10.00
timesteps=1190952 - 1191912, avg episodic return=10.00
timesteps=1190920 - 1191912, avg episodic return=10.00
timesteps=1190920 - 1191752, avg episodic return=10.00
timesteps=1190952 - 1191912, avg episodic return=10.00
timesteps=1191944 - 1192904, avg episodic return=9.20
timesteps=1191944 - 1192904, avg episodic return=10.00
timesteps=1191944 - 1192936, avg episodic return=10.00
timesteps=1191976 - 1192904, avg episodic return=10.00
timesteps=1191944 - 1192904, avg episodic return=10.00
timesteps=1193032 - 1193832, avg episodic return=9.55
timesteps=1192968 - 1193960, avg episodic return=9.41
timesteps=1193000 - 1193960, avg episodic return=10.00
timesteps=1193096 - 1193960, avg episodic return=10.00
timesteps=1192968 - 1193960, avg episodic return=10.00
timesteps=1193992 - 1194888, avg episodic return=10.00
timesteps=1193992 - 1194984, avg episodic return=10.21
timesteps=1193992 - 1194984, avg episodic return=10.00
timesteps=1194056 - 1194952, avg episodic return=10.00
timesteps=1193992 - 1194984, avg episodic return=10.00
timesteps=1195208 - 1195912, avg episodic return=9.58
timesteps=1195048 - 1196008, avg episodic return=10.00
timesteps=1195016 - 1196008, avg episodic return=10.00
timesteps=1195176 - 1195912, avg episodic return=10.00
timesteps=1195016 - 1196008, avg episodic return=10.00
timesteps=1196072 - 1197032, avg episodic return=10.00
timesteps=1196040 - 1197032, avg episodic return=10.00
timesteps=1196040 - 1197000, avg episodic return=10.00
timesteps=1196072 - 1196968, avg episodic return=10.00
timesteps=1196040 - 1196968, avg episodic return=10.00
timesteps=1197064 - 1198056, avg episodic return=10.83
timesteps=1197064 - 1198056, avg episodic return=10.00
timesteps=1197064 - 1198056, avg episodic return=10.00
timesteps=1197064 - 1198024, avg episodic return=10.00
timesteps=1197064 - 1198056, avg episodic return=10.00
timesteps=1198120 - 1199048, avg episodic return=10.00
timesteps=1198120 - 1199080, avg episodic return=10.00
timesteps=1198120 - 1199080, avg episodic return=10.00
timesteps=1198088 - 1199080, avg episodic return=10.00
timesteps=1198088 - 1199080, avg episodic return=10.00
timesteps=1199112 - 1200104, avg episodic return=10.00
timesteps=1199112 - 1200072, avg episodic return=10.36
timesteps=1199112 - 1200104, avg episodic return=10.00
timesteps=1199112 - 1200104, avg episodic return=10.00
timesteps=1199112 - 1200104, avg episodic return=10.00
timesteps=1200168 - 1201064, avg episodic return=10.00
timesteps=1200136 - 1201128, avg episodic return=10.00
timesteps=1200136 - 1201096, avg episodic return=10.00
timesteps=1200200 - 1201032, avg episodic return=10.00
timesteps=1200168 - 1201128, avg episodic return=9.79
timesteps=1201160 - 1202152, avg episodic return=10.40
timesteps=1201224 - 1202152, avg episodic return=10.00
timesteps=1201160 - 1202152, avg episodic return=10.00
timesteps=1201192 - 1202088, avg episodic return=10.00
timesteps=1201160 - 1202120, avg episodic return=10.00
timesteps=1202248 - 1203176, avg episodic return=10.00
timesteps=1202184 - 1203112, avg episodic return=10.31
timesteps=1202184 - 1203176, avg episodic return=10.00
timesteps=1202216 - 1203176, avg episodic return=10.00
timesteps=1202184 - 1203176, avg episodic return=10.00
timesteps=1203432 - 1204200, avg episodic return=10.00
timesteps=1203208 - 1204200, avg episodic return=10.00
timesteps=1203208 - 1204200, avg episodic return=10.00
timesteps=1203240 - 1204200, avg episodic return=10.00
timesteps=1203208 - 1204200, avg episodic return=10.00
timesteps=1204232 - 1205160, avg episodic return=9.52
timesteps=1204264 - 1205224, avg episodic return=10.00
timesteps=1204232 - 1205224, avg episodic return=10.00
timesteps=1204328 - 1205224, avg episodic return=10.00
timesteps=1204232 - 1205224, avg episodic return=10.29
timesteps=1205480 - 1206248, avg episodic return=10.00
timesteps=1205256 - 1206216, avg episodic return=9.63
timesteps=1205288 - 1206248, avg episodic return=10.00
timesteps=1205320 - 1206248, avg episodic return=10.00
timesteps=1205288 - 1206248, avg episodic return=10.00
timesteps=1206280 - 1207080, avg episodic return=10.00
timesteps=1206280 - 1207240, avg episodic return=10.00
timesteps=1206280 - 1207272, avg episodic return=10.00
timesteps=1206280 - 1207272, avg episodic return=10.00
timesteps=1206280 - 1207272, avg episodic return=10.00
timesteps=1207304 - 1208264, avg episodic return=10.45
timesteps=1207304 - 1208296, avg episodic return=10.00
timesteps=1207336 - 1208296, avg episodic return=10.00
timesteps=1207432 - 1208264, avg episodic return=10.80
timesteps=1207336 - 1208296, avg episodic return=10.00
timesteps=1208360 - 1209288, avg episodic return=10.00
timesteps=1208328 - 1209320, avg episodic return=10.00
timesteps=1208328 - 1209320, avg episodic return=10.00
timesteps=1208392 - 1209320, avg episodic return=10.00
timesteps=1208328 - 1209320, avg episodic return=10.00
timesteps=1209352 - 1210312, avg episodic return=9.17
timesteps=1209352 - 1210344, avg episodic return=10.00
timesteps=1209352 - 1210344, avg episodic return=10.00
timesteps=1209352 - 1210312, avg episodic return=10.38
timesteps=1209352 - 1210248, avg episodic return=10.00
timesteps=1210504 - 1211304, avg episodic return=10.00
timesteps=1210376 - 1211336, avg episodic return=9.67
timesteps=1210376 - 1211368, avg episodic return=10.00
timesteps=1210440 - 1211368, avg episodic return=10.00
timesteps=1210408 - 1211368, avg episodic return=10.00
timesteps=1211432 - 1212328, avg episodic return=10.00
timesteps=1211400 - 1212264, avg episodic return=10.00
timesteps=1211432 - 1212392, avg episodic return=10.00
timesteps=1211560 - 1212392, avg episodic return=10.00
timesteps=1211400 - 1212392, avg episodic return=10.00
timesteps=1212520 - 1213256, avg episodic return=10.00
timesteps=1212424 - 1213384, avg episodic return=9.74
timesteps=1212456 - 1213416, avg episodic return=10.00
timesteps=1212424 - 1213416, avg episodic return=9.63
timesteps=1212424 - 1213416, avg episodic return=10.00
timesteps=1213512 - 1214440, avg episodic return=9.50
timesteps=1213448 - 1214440, avg episodic return=10.00
timesteps=1213448 - 1214440, avg episodic return=10.00
timesteps=1213448 - 1214376, avg episodic return=10.00
timesteps=1213448 - 1214440, avg episodic return=10.00
timesteps=1214472 - 1215432, avg episodic return=10.00
timesteps=1214504 - 1215464, avg episodic return=10.00
timesteps=1214568 - 1215464, avg episodic return=10.00
timesteps=1214472 - 1215464, avg episodic return=10.00
timesteps=1214504 - 1215464, avg episodic return=10.00
timesteps=1215560 - 1216456, avg episodic return=10.00
timesteps=1215496 - 1216456, avg episodic return=10.00
timesteps=1215496 - 1216488, avg episodic return=10.00
timesteps=1215496 - 1216296, avg episodic return=9.47
timesteps=1215528 - 1216488, avg episodic return=10.24
timesteps=1216584 - 1217512, avg episodic return=10.00
timesteps=1216520 - 1217512, avg episodic return=10.00
timesteps=1216520 - 1217512, avg episodic return=10.00
timesteps=1216616 - 1217480, avg episodic return=9.62
timesteps=1216520 - 1217512, avg episodic return=10.00
timesteps=1217544 - 1218344, avg episodic return=10.00
timesteps=1217544 - 1218536, avg episodic return=10.00
timesteps=1217544 - 1218504, avg episodic return=10.00
timesteps=1217576 - 1218536, avg episodic return=9.58
timesteps=1217544 - 1218536, avg episodic return=10.00
timesteps=1218568 - 1219528, avg episodic return=10.00
