timesteps=17508 - 17780, avg discounted return=3.27
timesteps=17460 - 17860, avg discounted return=1.80
timesteps=17476 - 17892, avg discounted return=1.33
timesteps=17444 - 17732, avg discounted return=1.42
timesteps=17620 - 17892, avg discounted return=1.95
timesteps=17476 - 17892, avg discounted return=1.10
timesteps=17460 - 17460, avg discounted return=3.30
timesteps=17412 - 17892, avg discounted return=2.21
timesteps=17508 - 17764, avg discounted return=0.67
timesteps=18036 - 18404, avg discounted return=2.18
timesteps=17956 - 18388, avg discounted return=2.17
timesteps=18148 - 18404, avg discounted return=2.69
timesteps=18292 - 18388, avg discounted return=1.22
timesteps=18116 - 18404, avg discounted return=1.06
timesteps=17940 - 18228, avg discounted return=-0.09
timesteps=17924 - 18276, avg discounted return=2.24
timesteps=18404 - 18404, avg discounted return=2.76
timesteps=18004 - 18356, avg discounted return=1.62
timesteps=18468 - 18932, avg discounted return=1.25
timesteps=18484 - 18884, avg discounted return=1.67
timesteps=18548 - 18868, avg discounted return=1.54
timesteps=18692 - 18772, avg discounted return=1.49
timesteps=18516 - 18836, avg discounted return=0.71
timesteps=18484 - 18884, avg discounted return=3.15
timesteps=18564 - 18884, avg discounted return=-0.08
timesteps=18468 - 18756, avg discounted return=3.14
timesteps=18548 - 18868, avg discounted return=1.60
timesteps=18948 - 19428, avg discounted return=1.64
timesteps=19028 - 19396, avg discounted return=1.74
timesteps=18948 - 19284, avg discounted return=2.08
timesteps=19124 - 19444, avg discounted return=1.74
timesteps=18996 - 19172, avg discounted return=1.26
timesteps=18964 - 19380, avg discounted return=1.22
timesteps=19092 - 19412, avg discounted return=0.72
timesteps=18980 - 19444, avg discounted return=2.27
timesteps=18964 - 19268, avg discounted return=-0.07
timesteps=19508 - 19764, avg discounted return=2.00
timesteps=19572 - 19892, avg discounted return=1.13
timesteps=19556 - 19956, avg discounted return=0.68
timesteps=19572 - 19892, avg discounted return=1.50
timesteps=19636 - 19860, avg discounted return=1.93
timesteps=19540 - 19956, avg discounted return=1.72
timesteps=19492 - 19860, avg discounted return=1.61
timesteps=19556 - 19956, avg discounted return=2.02
timesteps=19572 - 19572, avg discounted return=0.43
timesteps=19636 - 19764, avg discounted return=2.46
timesteps=20100 - 20436, avg discounted return=2.68
timesteps=20068 - 20468, avg discounted return=2.38
timesteps=20020 - 20420, avg discounted return=1.45
timesteps=20036 - 20036, avg discounted return=-0.06
timesteps=20116 - 20340, avg discounted return=-0.08
timesteps=20068 - 20356, avg discounted return=1.51
timesteps=19988 - 20388, avg discounted return=1.22
timesteps=20212 - 20452, avg discounted return=2.07
timesteps=20180 - 20180, avg discounted return=2.68
timesteps=19988 - 20452, avg discounted return=1.05
timesteps=20500 - 20932, avg discounted return=1.29
timesteps=20756 - 20980, avg discounted return=1.58
timesteps=20644 - 20916, avg discounted return=1.48
timesteps=20788 - 20932, avg discounted return=1.86
timesteps=20516 - 20948, avg discounted return=1.32
timesteps=20564 - 20932, avg discounted return=1.58
timesteps=20500 - 20932, avg discounted return=1.79
timesteps=20548 - 20980, avg discounted return=2.28
timesteps=20772 - 20772, avg discounted return=2.47
timesteps=20500 - 20900, avg discounted return=2.77
timesteps=21092 - 21460, avg discounted return=1.61
timesteps=20996 - 21396, avg discounted return=0.70
timesteps=20996 - 21364, avg discounted return=1.55
timesteps=21012 - 21380, avg discounted return=1.34
timesteps=21076 - 21348, avg discounted return=1.24
timesteps=21076 - 21476, avg discounted return=2.31
timesteps=21076 - 21476, avg discounted return=1.12
timesteps=21044 - 21476, avg discounted return=1.69
timesteps=21044 - 21460, avg discounted return=1.57
timesteps=21652 - 22004, avg discounted return=2.67
timesteps=21524 - 21828, avg discounted return=1.19
timesteps=21652 - 22004, avg discounted return=0.52
timesteps=21588 - 21972, avg discounted return=2.24
timesteps=21652 - 21764, avg discounted return=2.40
timesteps=21556 - 22004, avg discounted return=1.26
timesteps=21524 - 21972, avg discounted return=3.22
timesteps=21508 - 21924, avg discounted return=0.46
timesteps=21716 - 21988, avg discounted return=1.61
timesteps=21556 - 21556, avg discounted return=3.17
timesteps=22020 - 22388, avg discounted return=2.13
timesteps=22132 - 22484, avg discounted return=2.30
timesteps=22324 - 22516, avg discounted return=2.39
timesteps=22020 - 22468, avg discounted return=1.43
timesteps=22020 - 22516, avg discounted return=1.78
timesteps=22020 - 22436, avg discounted return=1.84
timesteps=22068 - 22484, avg discounted return=1.98
timesteps=22036 - 22452, avg discounted return=1.77
timesteps=22036 - 22516, avg discounted return=2.49
timesteps=22724 - 22948, avg discounted return=1.64
timesteps=22628 - 22996, avg discounted return=2.23
timesteps=22564 - 23028, avg discounted return=1.09
timesteps=22644 - 22948, avg discounted return=0.59
timesteps=22580 - 22948, avg discounted return=1.50
timesteps=22788 - 23028, avg discounted return=1.25
timesteps=22564 - 22932, avg discounted return=1.17
timesteps=22532 - 23012, avg discounted return=2.61
timesteps=22948 - 22948, avg discounted return=-0.07
timesteps=22564 - 23012, avg discounted return=1.13
timesteps=23044 - 23348, avg discounted return=1.78
timesteps=23156 - 23476, avg discounted return=1.98
timesteps=23108 - 23524, avg discounted return=1.33
timesteps=23188 - 23540, avg discounted return=0.88
timesteps=23076 - 23076, avg discounted return=-0.07
timesteps=23108 - 23540, avg discounted return=1.63
timesteps=23284 - 23444, avg discounted return=3.26
timesteps=23076 - 23476, avg discounted return=1.64
timesteps=23316 - 23316, avg discounted return=-0.06
timesteps=23060 - 23492, avg discounted return=2.75
timesteps=23572 - 24020, avg discounted return=1.98
timesteps=23556 - 24036, avg discounted return=0.92
timesteps=23588 - 24036, avg discounted return=1.82
timesteps=23588 - 23956, avg discounted return=1.51
timesteps=23636 - 23876, avg discounted return=-0.08
timesteps=23604 - 23892, avg discounted return=1.96
timesteps=23684 - 24052, avg discounted return=0.76
timesteps=23556 - 24020, avg discounted return=0.98
timesteps=23556 - 24052, avg discounted return=2.14
timesteps=24164 - 24500, avg discounted return=1.89
timesteps=24116 - 24532, avg discounted return=1.94
timesteps=24148 - 24564, avg discounted return=1.88
timesteps=24132 - 24564, avg discounted return=1.43
timesteps=24068 - 24564, avg discounted return=0.43
timesteps=24068 - 24468, avg discounted return=2.00
timesteps=24148 - 24500, avg discounted return=2.61
timesteps=24180 - 24532, avg discounted return=2.58
timesteps=24196 - 24500, avg discounted return=1.56
timesteps=24100 - 24548, avg discounted return=1.25
timesteps=24596 - 25028, avg discounted return=2.05
timesteps=24596 - 25076, avg discounted return=0.56
timesteps=24660 - 25012, avg discounted return=2.69
timesteps=24868 - 25028, avg discounted return=2.13
timesteps=24596 - 24884, avg discounted return=2.00
timesteps=24580 - 24868, avg discounted return=1.25
timesteps=24580 - 25012, avg discounted return=1.67
timesteps=24676 - 25044, avg discounted return=2.13
timesteps=24884 - 25076, avg discounted return=1.28
timesteps=24628 - 24932, avg discounted return=1.87
timesteps=25092 - 25428, avg discounted return=1.53
timesteps=25204 - 25540, avg discounted return=2.60
timesteps=25140 - 25588, avg discounted return=2.52
timesteps=25540 - 25540, avg discounted return=-0.07
timesteps=25220 - 25444, avg discounted return=2.86
timesteps=25140 - 25540, avg discounted return=1.97
timesteps=25348 - 25572, avg discounted return=1.15
timesteps=25140 - 25476, avg discounted return=2.55
timesteps=25092 - 25524, avg discounted return=1.63
timesteps=25092 - 25396, avg discounted return=2.09
timesteps=25652 - 26068, avg discounted return=2.21
timesteps=25620 - 25988, avg discounted return=2.68
timesteps=25636 - 26084, avg discounted return=1.78
timesteps=25796 - 25988, avg discounted return=-0.07
timesteps=25636 - 26100, avg discounted return=1.53
timesteps=25668 - 26084, avg discounted return=1.76
timesteps=25700 - 26052, avg discounted return=2.81
timesteps=25604 - 25892, avg discounted return=1.61
timesteps=26020 - 26020, avg discounted return=2.90
timesteps=25652 - 25732, avg discounted return=1.06
timesteps=26132 - 26596, avg discounted return=2.79
timesteps=26260 - 26596, avg discounted return=1.47
timesteps=26116 - 26436, avg discounted return=0.85
timesteps=26212 - 26596, avg discounted return=1.35
timesteps=26132 - 26532, avg discounted return=1.47
timesteps=26116 - 26548, avg discounted return=1.92
timesteps=26116 - 26612, avg discounted return=1.97
timesteps=26116 - 26436, avg discounted return=3.20
timesteps=26116 - 26196, avg discounted return=0.84
timesteps=26116 - 26580, avg discounted return=3.13
timesteps=26724 - 27108, avg discounted return=2.71
timesteps=26676 - 27044, avg discounted return=2.13
timesteps=26788 - 26996, avg discounted return=3.25
timesteps=26692 - 26948, avg discounted return=1.51
timesteps=26740 - 27108, avg discounted return=-0.07
timesteps=26756 - 26964, avg discounted return=1.20
timesteps=26708 - 27028, avg discounted return=0.81
timesteps=26740 - 27124, avg discounted return=1.94
timesteps=26692 - 27076, avg discounted return=0.96
timesteps=26628 - 27124, avg discounted return=2.27
timesteps=27236 - 27460, avg discounted return=2.16
timesteps=27140 - 27428, avg discounted return=2.37
timesteps=27220 - 27636, avg discounted return=1.31
timesteps=27332 - 27620, avg discounted return=1.54
timesteps=27140 - 27252, avg discounted return=3.27
timesteps=27268 - 27636, avg discounted return=2.86
timesteps=27252 - 27572, avg discounted return=1.02
timesteps=27220 - 27412, avg discounted return=2.02
timesteps=27172 - 27572, avg discounted return=1.96
timesteps=27396 - 27412, avg discounted return=-0.08
timesteps=27700 - 28068, avg discounted return=3.40
timesteps=27652 - 28036, avg discounted return=1.27
timesteps=27668 - 28100, avg discounted return=2.84
timesteps=27668 - 28004, avg discounted return=1.91
timesteps=27652 - 28116, avg discounted return=2.22
timesteps=27796 - 28100, avg discounted return=1.04
timesteps=27652 - 28084, avg discounted return=2.90
timesteps=27764 - 28116, avg discounted return=1.85
timesteps=27828 - 28068, avg discounted return=1.67
timesteps=28164 - 28596, avg discounted return=1.28
timesteps=28180 - 28612, avg discounted return=2.10
timesteps=28228 - 28548, avg discounted return=1.32
timesteps=28292 - 28484, avg discounted return=1.06
timesteps=28228 - 28420, avg discounted return=1.92
timesteps=28196 - 28612, avg discounted return=2.03
timesteps=28164 - 28660, avg discounted return=-0.08
timesteps=28276 - 28660, avg discounted return=2.79
timesteps=28308 - 28660, avg discounted return=1.19
timesteps=28212 - 28388, avg discounted return=0.82
timesteps=28724 - 29124, avg discounted return=1.76
timesteps=28676 - 29140, avg discounted return=1.58
timesteps=28708 - 29156, avg discounted return=0.92
timesteps=28804 - 29172, avg discounted return=0.78
timesteps=28676 - 29172, avg discounted return=1.10
timesteps=28788 - 29172, avg discounted return=2.79
timesteps=28692 - 29172, avg discounted return=1.34
timesteps=28676 - 29172, avg discounted return=2.29
timesteps=28852 - 29044, avg discounted return=1.58
timesteps=28820 - 29124, avg discounted return=1.87
timesteps=29204 - 29492, avg discounted return=2.68
timesteps=29348 - 29572, avg discounted return=2.37
timesteps=29220 - 29508, avg discounted return=1.53
timesteps=29364 - 29620, avg discounted return=-0.08
timesteps=29284 - 29364, avg discounted return=1.52
timesteps=29236 - 29684, avg discounted return=3.49
timesteps=29188 - 29684, avg discounted return=1.05
timesteps=29332 - 29652, avg discounted return=3.00
timesteps=29220 - 29620, avg discounted return=2.68
timesteps=29220 - 29300, avg discounted return=2.51
timesteps=29700 - 30196, avg discounted return=2.16
timesteps=29732 - 30196, avg discounted return=3.46
timesteps=29716 - 30148, avg discounted return=2.14
timesteps=29716 - 30052, avg discounted return=1.52
timesteps=29876 - 30196, avg discounted return=0.82
timesteps=29732 - 30180, avg discounted return=3.07
timesteps=29716 - 30164, avg discounted return=0.73
timesteps=29700 - 30132, avg discounted return=3.44
timesteps=29700 - 30148, avg discounted return=1.32
timesteps=29716 - 29972, avg discounted return=2.08
timesteps=30260 - 30676, avg discounted return=2.85
timesteps=30212 - 30676, avg discounted return=1.01
timesteps=30244 - 30388, avg discounted return=1.64
timesteps=30340 - 30708, avg discounted return=3.34
timesteps=30276 - 30532, avg discounted return=0.75
timesteps=30260 - 30660, avg discounted return=1.90
timesteps=30516 - 30644, avg discounted return=0.87
timesteps=30244 - 30660, avg discounted return=3.31
timesteps=30244 - 30692, avg discounted return=0.97
timesteps=30372 - 30532, avg discounted return=2.48
timesteps=30724 - 31156, avg discounted return=2.43
timesteps=30724 - 31028, avg discounted return=1.38
timesteps=30788 - 31156, avg discounted return=1.63
timesteps=30884 - 31108, avg discounted return=1.48
timesteps=30772 - 31188, avg discounted return=1.64
timesteps=30724 - 31204, avg discounted return=2.89
timesteps=30724 - 31076, avg discounted return=2.34
timesteps=30836 - 31044, avg discounted return=3.31
timesteps=30964 - 31156, avg discounted return=3.33
timesteps=30740 - 30884, avg discounted return=1.59
timesteps=31236 - 31732, avg discounted return=2.55
timesteps=31268 - 31652, avg discounted return=1.84
timesteps=31252 - 31620, avg discounted return=2.20
timesteps=31284 - 31620, avg discounted return=1.27
timesteps=31332 - 31588, avg discounted return=2.34
timesteps=31236 - 31716, avg discounted return=2.85
timesteps=31236 - 31700, avg discounted return=2.29
timesteps=31348 - 31700, avg discounted return=3.32
timesteps=31348 - 31700, avg discounted return=2.36
