## SLURM PROLOG ###############################################################
##    Job ID : 8517534
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2107
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:30:11 PM EST 2025
###############################################################################
obs (65,)
timesteps=1714192 - 1716112, avg episodic return=10.00
timesteps=1714192 - 1715728, avg episodic return=10.00
timesteps=1716368 - 1717904, avg episodic return=10.00
timesteps=1716368 - 1718160, avg episodic return=10.00
timesteps=1716496 - 1718032, avg episodic return=10.00
timesteps=1716368 - 1717776, avg episodic return=10.77
timesteps=1716624 - 1718160, avg episodic return=8.00
timesteps=1718416 - 1720208, avg episodic return=10.00
timesteps=1718416 - 1719952, avg episodic return=10.00
timesteps=1718544 - 1720208, avg episodic return=10.00
timesteps=1718288 - 1719952, avg episodic return=10.00
timesteps=1718928 - 1720208, avg episodic return=10.71
timesteps=1720464 - 1721616, avg episodic return=6.67
timesteps=1720336 - 1722000, avg episodic return=11.33
timesteps=1720592 - 1722128, avg episodic return=10.00
timesteps=1720336 - 1722256, avg episodic return=10.00
timesteps=1720720 - 1721744, avg episodic return=12.00
timesteps=1722384 - 1724304, avg episodic return=9.00
timesteps=1722512 - 1724048, avg episodic return=9.29
timesteps=1722768 - 1724304, avg episodic return=10.00
timesteps=1722384 - 1724304, avg episodic return=10.00
timesteps=1722384 - 1723664, avg episodic return=10.00
timesteps=1724560 - 1726352, avg episodic return=10.00
timesteps=1724560 - 1726352, avg episodic return=9.09
timesteps=1724688 - 1726352, avg episodic return=10.00
timesteps=1724432 - 1726096, avg episodic return=10.00
timesteps=1724560 - 1726352, avg episodic return=10.00
timesteps=1726480 - 1728400, avg episodic return=10.00
timesteps=1726480 - 1728144, avg episodic return=10.00
timesteps=1726480 - 1728400, avg episodic return=11.00
timesteps=1726480 - 1728144, avg episodic return=10.00
timesteps=1726480 - 1728400, avg episodic return=9.17
timesteps=1728912 - 1730320, avg episodic return=10.00
timesteps=1728528 - 1730192, avg episodic return=10.00
timesteps=1728656 - 1730448, avg episodic return=10.00
timesteps=1728528 - 1730320, avg episodic return=9.23
timesteps=1728656 - 1730448, avg episodic return=10.00
timesteps=1730960 - 1732368, avg episodic return=10.00
timesteps=1730704 - 1732496, avg episodic return=10.00
timesteps=1730576 - 1732496, avg episodic return=10.00
timesteps=1730960 - 1732496, avg episodic return=10.00
timesteps=1730576 - 1732496, avg episodic return=10.00
timesteps=1732624 - 1734544, avg episodic return=10.67
timesteps=1732880 - 1733648, avg episodic return=10.00
timesteps=1733008 - 1734416, avg episodic return=10.00
timesteps=1732624 - 1734416, avg episodic return=9.33
timesteps=1733008 - 1734032, avg episodic return=10.00
timesteps=1734672 - 1736592, avg episodic return=10.00
timesteps=1734672 - 1736464, avg episodic return=10.00
timesteps=1734672 - 1736592, avg episodic return=10.00
timesteps=1734672 - 1736592, avg episodic return=10.00
timesteps=1734672 - 1736592, avg episodic return=10.00
timesteps=1736720 - 1738384, avg episodic return=10.00
timesteps=1736720 - 1738512, avg episodic return=10.00
timesteps=1736848 - 1738000, avg episodic return=10.00
timesteps=1736848 - 1738512, avg episodic return=9.29
timesteps=1736976 - 1738256, avg episodic return=10.00
timesteps=1738768 - 1740688, avg episodic return=10.00
timesteps=1739152 - 1740688, avg episodic return=10.00
timesteps=1739536 - 1740688, avg episodic return=8.75
timesteps=1738768 - 1740688, avg episodic return=10.00
timesteps=1738896 - 1740176, avg episodic return=11.11
timesteps=1740944 - 1742736, avg episodic return=10.00
timesteps=1740944 - 1742736, avg episodic return=10.00
timesteps=1740816 - 1742608, avg episodic return=8.75
timesteps=1741328 - 1742480, avg episodic return=11.67
timesteps=1740816 - 1742352, avg episodic return=9.33
timesteps=1742992 - 1744656, avg episodic return=9.29
timesteps=1743632 - 1744784, avg episodic return=10.00
timesteps=1743120 - 1744784, avg episodic return=12.22
timesteps=1742992 - 1744528, avg episodic return=10.00
timesteps=1742864 - 1744784, avg episodic return=8.89
timesteps=1745040 - 1746832, avg episodic return=10.00
timesteps=1744912 - 1746832, avg episodic return=10.00
timesteps=1745040 - 1746576, avg episodic return=12.50
timesteps=1744912 - 1746832, avg episodic return=11.25
timesteps=1744912 - 1746576, avg episodic return=10.00
timesteps=1746960 - 1748752, avg episodic return=10.00
timesteps=1747216 - 1748368, avg episodic return=10.00
timesteps=1746960 - 1748368, avg episodic return=10.00
timesteps=1746960 - 1748752, avg episodic return=10.00
timesteps=1747216 - 1748880, avg episodic return=11.43
timesteps=1749008 - 1750544, avg episodic return=10.00
timesteps=1749008 - 1750928, avg episodic return=10.00
timesteps=1749648 - 1750928, avg episodic return=10.00
timesteps=1749136 - 1750928, avg episodic return=10.00
timesteps=1749136 - 1750800, avg episodic return=11.11
timesteps=1751184 - 1752976, avg episodic return=10.00
timesteps=1751184 - 1752848, avg episodic return=10.00
timesteps=1751056 - 1752720, avg episodic return=10.00
timesteps=1751312 - 1752720, avg episodic return=9.09
timesteps=1751056 - 1752848, avg episodic return=10.00
timesteps=1753488 - 1754896, avg episodic return=11.54
timesteps=1753104 - 1755024, avg episodic return=10.00
timesteps=1753104 - 1755024, avg episodic return=10.00
timesteps=1753360 - 1754768, avg episodic return=10.00
timesteps=1753360 - 1755024, avg episodic return=10.00
timesteps=1755152 - 1757072, avg episodic return=11.05
timesteps=1755408 - 1756816, avg episodic return=8.75
timesteps=1755408 - 1756304, avg episodic return=10.00
timesteps=1755408 - 1757072, avg episodic return=10.00
timesteps=1755280 - 1756176, avg episodic return=10.00
timesteps=1757328 - 1759120, avg episodic return=10.77
timesteps=1757456 - 1758992, avg episodic return=10.91
timesteps=1757328 - 1758992, avg episodic return=10.71
timesteps=1757712 - 1759120, avg episodic return=10.00
timesteps=1757200 - 1759120, avg episodic return=9.00
timesteps=1759248 - 1761168, avg episodic return=9.29
timesteps=1759376 - 1761168, avg episodic return=10.00
timesteps=1759248 - 1761040, avg episodic return=10.00
timesteps=1759248 - 1761168, avg episodic return=10.00
timesteps=1759248 - 1761168, avg episodic return=10.00
timesteps=1761680 - 1763216, avg episodic return=10.00
timesteps=1761552 - 1763088, avg episodic return=10.00
timesteps=1761296 - 1762832, avg episodic return=10.00
timesteps=1761296 - 1763088, avg episodic return=10.00
timesteps=1761680 - 1762960, avg episodic return=12.00
timesteps=1763472 - 1765136, avg episodic return=10.00
timesteps=1764112 - 1765264, avg episodic return=10.00
timesteps=1763472 - 1765264, avg episodic return=10.00
timesteps=1763600 - 1764752, avg episodic return=10.00
timesteps=1763344 - 1765008, avg episodic return=10.00
timesteps=1765520 - 1766928, avg episodic return=10.83
timesteps=1765392 - 1767312, avg episodic return=10.00
timesteps=1765392 - 1767184, avg episodic return=10.00
timesteps=1765392 - 1767312, avg episodic return=10.67
timesteps=1765520 - 1766800, avg episodic return=11.43
timesteps=1767440 - 1769104, avg episodic return=10.00
timesteps=1767440 - 1769360, avg episodic return=10.00
timesteps=1767824 - 1768720, avg episodic return=10.00
timesteps=1767440 - 1769360, avg episodic return=10.00
timesteps=1767696 - 1769360, avg episodic return=11.67
timesteps=1769488 - 1771408, avg episodic return=10.00
timesteps=1769616 - 1771408, avg episodic return=10.00
timesteps=1769488 - 1771408, avg episodic return=11.00
timesteps=1770128 - 1771280, avg episodic return=10.00
timesteps=1769616 - 1771408, avg episodic return=10.00
timesteps=1771536 - 1773456, avg episodic return=10.00
timesteps=1771792 - 1773456, avg episodic return=10.00
timesteps=1771536 - 1772944, avg episodic return=10.00
timesteps=1771536 - 1773328, avg episodic return=10.00
timesteps=1771536 - 1773456, avg episodic return=9.09
timesteps=1773712 - 1775248, avg episodic return=11.00
timesteps=1773584 - 1775376, avg episodic return=10.00
timesteps=1773584 - 1775376, avg episodic return=10.00
timesteps=1773584 - 1775504, avg episodic return=10.00
timesteps=1773584 - 1775248, avg episodic return=10.00
timesteps=1775760 - 1777552, avg episodic return=10.00
timesteps=1775632 - 1777552, avg episodic return=9.38
timesteps=1775632 - 1777552, avg episodic return=10.00
timesteps=1775632 - 1777552, avg episodic return=10.00
timesteps=1775632 - 1777552, avg episodic return=10.00
timesteps=1778064 - 1779344, avg episodic return=10.00
timesteps=1777680 - 1779600, avg episodic return=8.89
timesteps=1778064 - 1779344, avg episodic return=10.00
timesteps=1777680 - 1779600, avg episodic return=10.00
timesteps=1777936 - 1779472, avg episodic return=11.43
timesteps=1779856 - 1781520, avg episodic return=9.17
timesteps=1779856 - 1781648, avg episodic return=10.00
timesteps=1780240 - 1781648, avg episodic return=10.00
timesteps=1779728 - 1781136, avg episodic return=10.00
timesteps=1779856 - 1781520, avg episodic return=10.00
timesteps=1781904 - 1783696, avg episodic return=10.91
timesteps=1782416 - 1783696, avg episodic return=10.00
timesteps=1781904 - 1783568, avg episodic return=10.00
timesteps=1781776 - 1783696, avg episodic return=10.00
timesteps=1782160 - 1783440, avg episodic return=10.00
timesteps=1784080 - 1785232, avg episodic return=10.00
timesteps=1784080 - 1785616, avg episodic return=10.00
timesteps=1783824 - 1785744, avg episodic return=10.00
timesteps=1783952 - 1785488, avg episodic return=11.67
timesteps=1783824 - 1785232, avg episodic return=10.00
timesteps=1785872 - 1787792, avg episodic return=10.00
timesteps=1785872 - 1787792, avg episodic return=9.17
timesteps=1786256 - 1787664, avg episodic return=8.33
timesteps=1785872 - 1787792, avg episodic return=10.00
timesteps=1786000 - 1787664, avg episodic return=10.00
timesteps=1788048 - 1789712, avg episodic return=10.00
timesteps=1788048 - 1789840, avg episodic return=10.00
timesteps=1788176 - 1789840, avg episodic return=9.29
timesteps=1788048 - 1789072, avg episodic return=10.00
timesteps=1788048 - 1789712, avg episodic return=11.00
timesteps=1790096 - 1791888, avg episodic return=10.00
timesteps=1789968 - 1791888, avg episodic return=10.83
timesteps=1789968 - 1791248, avg episodic return=10.00
timesteps=1789968 - 1791888, avg episodic return=10.59
timesteps=1790352 - 1791632, avg episodic return=10.00
timesteps=1792656 - 1793936, avg episodic return=10.00
timesteps=1792144 - 1793936, avg episodic return=10.83
timesteps=1792272 - 1793936, avg episodic return=10.83
timesteps=1792016 - 1793936, avg episodic return=10.00
timesteps=1792400 - 1793680, avg episodic return=10.00
timesteps=1794832 - 1795856, avg episodic return=10.00
timesteps=1794064 - 1795856, avg episodic return=9.23
timesteps=1794320 - 1795984, avg episodic return=10.00
timesteps=1794064 - 1795984, avg episodic return=10.00
timesteps=1794448 - 1795344, avg episodic return=13.33
timesteps=1796112 - 1798032, avg episodic return=10.00
timesteps=1796112 - 1797776, avg episodic return=10.00
timesteps=1796112 - 1797264, avg episodic return=10.00
timesteps=1796368 - 1798032, avg episodic return=8.75
timesteps=1796112 - 1798032, avg episodic return=11.00
timesteps=1798160 - 1799696, avg episodic return=9.29
timesteps=1798288 - 1800080, avg episodic return=10.00
timesteps=1798160 - 1800080, avg episodic return=10.71
timesteps=1798160 - 1799568, avg episodic return=9.23
timesteps=1798160 - 1800080, avg episodic return=10.00
timesteps=1800464 - 1802128, avg episodic return=10.00
timesteps=1800208 - 1802128, avg episodic return=10.00
timesteps=1800208 - 1802128, avg episodic return=10.00
timesteps=1800336 - 1802000, avg episodic return=10.00
timesteps=1800208 - 1802000, avg episodic return=10.00
timesteps=1802256 - 1804176, avg episodic return=10.00
timesteps=1802640 - 1803792, avg episodic return=11.25
timesteps=1802256 - 1804048, avg episodic return=10.91
timesteps=1802256 - 1804176, avg episodic return=10.00
timesteps=1802256 - 1804048, avg episodic return=10.00
timesteps=1804304 - 1806224, avg episodic return=9.17
timesteps=1804304 - 1806224, avg episodic return=10.00
timesteps=1804560 - 1805968, avg episodic return=10.00
timesteps=1804432 - 1806224, avg episodic return=10.00
timesteps=1804688 - 1805968, avg episodic return=13.33
timesteps=1806608 - 1808016, avg episodic return=10.00
timesteps=1806608 - 1808272, avg episodic return=10.00
timesteps=1806352 - 1808272, avg episodic return=11.25
timesteps=1806352 - 1808016, avg episodic return=10.00
timesteps=1806480 - 1808272, avg episodic return=10.00
timesteps=1808656 - 1810320, avg episodic return=10.71
timesteps=1808528 - 1810320, avg episodic return=10.00
timesteps=1808400 - 1810320, avg episodic return=10.00
timesteps=1808400 - 1810320, avg episodic return=11.67
timesteps=1808400 - 1810320, avg episodic return=10.00
timesteps=1810704 - 1812368, avg episodic return=10.00
timesteps=1810576 - 1812368, avg episodic return=10.00
timesteps=1810448 - 1811856, avg episodic return=10.00
timesteps=1810832 - 1812368, avg episodic return=10.00
timesteps=1810448 - 1812240, avg episodic return=10.00
timesteps=1813136 - 1813520, avg episodic return=10.00
timesteps=1812496 - 1813648, avg episodic return=10.00
timesteps=1812496 - 1814032, avg episodic return=10.71
timesteps=1812624 - 1814160, avg episodic return=10.00
timesteps=1812496 - 1814288, avg episodic return=10.83
timesteps=1814672 - 1816336, avg episodic return=10.62
timesteps=1814544 - 1816464, avg episodic return=10.00
timesteps=1814800 - 1816464, avg episodic return=8.00
timesteps=1814544 - 1816336, avg episodic return=10.00
timesteps=1814544 - 1816336, avg episodic return=10.00
timesteps=1816720 - 1818512, avg episodic return=10.00
timesteps=1816592 - 1818512, avg episodic return=10.77
timesteps=1816592 - 1818512, avg episodic return=10.00
timesteps=1816720 - 1818384, avg episodic return=8.75
timesteps=1817104 - 1818512, avg episodic return=8.33
timesteps=1818768 - 1820560, avg episodic return=8.00
timesteps=1818640 - 1820432, avg episodic return=10.00
timesteps=1818640 - 1820560, avg episodic return=10.00
timesteps=1818896 - 1820560, avg episodic return=8.00
timesteps=1818640 - 1820560, avg episodic return=10.00
timesteps=1820688 - 1822608, avg episodic return=10.62
timesteps=1820688 - 1822608, avg episodic return=10.00
timesteps=1820688 - 1822352, avg episodic return=10.00
timesteps=1820944 - 1822224, avg episodic return=10.00
timesteps=1820688 - 1822352, avg episodic return=10.00
timesteps=1822736 - 1824528, avg episodic return=9.00
timesteps=1822736 - 1824656, avg episodic return=11.00
timesteps=1822992 - 1824656, avg episodic return=10.00
timesteps=1822992 - 1824656, avg episodic return=10.91
timesteps=1822864 - 1824528, avg episodic return=11.25
timesteps=1824912 - 1826704, avg episodic return=10.00
timesteps=1824912 - 1826576, avg episodic return=10.00
timesteps=1824784 - 1826704, avg episodic return=10.00
timesteps=1824912 - 1826704, avg episodic return=9.33
timesteps=1824784 - 1826704, avg episodic return=10.00
timesteps=1826960 - 1828240, avg episodic return=10.83
timesteps=1827088 - 1828752, avg episodic return=10.00
timesteps=1826832 - 1828752, avg episodic return=10.77
timesteps=1826832 - 1828752, avg episodic return=9.33
timesteps=1826832 - 1828368, avg episodic return=11.00
timesteps=1829008 - 1830672, avg episodic return=10.00
timesteps=1829136 - 1830800, avg episodic return=10.00
timesteps=1829264 - 1830800, avg episodic return=10.00
timesteps=1828880 - 1830544, avg episodic return=10.00
timesteps=1829264 - 1830416, avg episodic return=9.00
timesteps=1830928 - 1832848, avg episodic return=10.00
timesteps=1831440 - 1832720, avg episodic return=10.00
timesteps=1831056 - 1832592, avg episodic return=10.00
timesteps=1830928 - 1832848, avg episodic return=9.23
timesteps=1831056 - 1832720, avg episodic return=8.00
timesteps=1832976 - 1834896, avg episodic return=10.00
timesteps=1833104 - 1834896, avg episodic return=10.00
timesteps=1833488 - 1834896, avg episodic return=11.11
timesteps=1832976 - 1834896, avg episodic return=10.00
timesteps=1833232 - 1834640, avg episodic return=10.00
timesteps=1835152 - 1836944, avg episodic return=9.23
timesteps=1835024 - 1836816, avg episodic return=10.00
timesteps=1835024 - 1836816, avg episodic return=10.00
timesteps=1835024 - 1836816, avg episodic return=11.43
timesteps=1835536 - 1836944, avg episodic return=8.33
timesteps=1837456 - 1838992, avg episodic return=10.00
timesteps=1837072 - 1838992, avg episodic return=9.23
timesteps=1837456 - 1838352, avg episodic return=10.00
timesteps=1837584 - 1838992, avg episodic return=10.00
timesteps=1837200 - 1838736, avg episodic return=12.00
timesteps=1839120 - 1840528, avg episodic return=9.23
timesteps=1840144 - 1841040, avg episodic return=10.00
timesteps=1839248 - 1840912, avg episodic return=11.00
timesteps=1839120 - 1840784, avg episodic return=10.00
timesteps=1839120 - 1840784, avg episodic return=11.00
timesteps=1841680 - 1842960, avg episodic return=8.57
timesteps=1841296 - 1842704, avg episodic return=9.09
timesteps=1842192 - 1842960, avg episodic return=10.00
timesteps=1841680 - 1842960, avg episodic return=10.00
timesteps=1841296 - 1843088, avg episodic return=10.67
timesteps=1843344 - 1845008, avg episodic return=10.00
timesteps=1843472 - 1845136, avg episodic return=9.29
timesteps=1843472 - 1845136, avg episodic return=10.00
timesteps=1843216 - 1845136, avg episodic return=10.00
timesteps=1843728 - 1844880, avg episodic return=10.00
timesteps=1845520 - 1847184, avg episodic return=11.67
timesteps=1845264 - 1846928, avg episodic return=10.00
timesteps=1845264 - 1845264, avg episodic return=10.00
timesteps=1845776 - 1847056, avg episodic return=10.00
timesteps=1845520 - 1847056, avg episodic return=10.00
timesteps=1847568 - 1849104, avg episodic return=8.89
timesteps=1847312 - 1849232, avg episodic return=10.00
timesteps=1847312 - 1849232, avg episodic return=10.00
timesteps=1847312 - 1849104, avg episodic return=10.71
timesteps=1847312 - 1849232, avg episodic return=10.91
timesteps=1849488 - 1851024, avg episodic return=10.00
timesteps=1849360 - 1850896, avg episodic return=10.00
timesteps=1849360 - 1850896, avg episodic return=10.00
timesteps=1849488 - 1851280, avg episodic return=10.62
timesteps=1849360 - 1851152, avg episodic return=10.00
timesteps=1851536 - 1853328, avg episodic return=10.00
timesteps=1851920 - 1853328, avg episodic return=10.00
timesteps=1851536 - 1853072, avg episodic return=8.89
timesteps=1851664 - 1853328, avg episodic return=10.00
timesteps=1851536 - 1853200, avg episodic return=8.67
timesteps=1853456 - 1855376, avg episodic return=10.00
timesteps=1853584 - 1855376, avg episodic return=10.00
timesteps=1853584 - 1855376, avg episodic return=12.00
timesteps=1853456 - 1855120, avg episodic return=10.00
timesteps=1853456 - 1854864, avg episodic return=10.00
timesteps=1855504 - 1857424, avg episodic return=10.00
timesteps=1855504 - 1857424, avg episodic return=10.00
timesteps=1855504 - 1857296, avg episodic return=10.00
timesteps=1855504 - 1857168, avg episodic return=10.00
timesteps=1855888 - 1857424, avg episodic return=10.00
timesteps=1857808 - 1859344, avg episodic return=10.00
timesteps=1857552 - 1859472, avg episodic return=10.00
timesteps=1857936 - 1859472, avg episodic return=10.00
timesteps=1857680 - 1859472, avg episodic return=10.00
timesteps=1857552 - 1859472, avg episodic return=10.00
timesteps=1859728 - 1861520, avg episodic return=10.00
timesteps=1859856 - 1861520, avg episodic return=8.89
timesteps=1859600 - 1861392, avg episodic return=11.25
timesteps=1859728 - 1861520, avg episodic return=11.43
timesteps=1859600 - 1861520, avg episodic return=10.91
timesteps=1861648 - 1863056, avg episodic return=10.00
timesteps=1862032 - 1863568, avg episodic return=10.67
timesteps=1861648 - 1863440, avg episodic return=10.00
timesteps=1861648 - 1863568, avg episodic return=8.89
timesteps=1862032 - 1863440, avg episodic return=10.00
timesteps=1863696 - 1865488, avg episodic return=10.00
timesteps=1863696 - 1865488, avg episodic return=10.00
timesteps=1863696 - 1865616, avg episodic return=11.25
timesteps=1864208 - 1865616, avg episodic return=10.00
timesteps=1863696 - 1865616, avg episodic return=10.00
timesteps=1865744 - 1867664, avg episodic return=8.89
timesteps=1865744 - 1867664, avg episodic return=8.89
timesteps=1865744 - 1867536, avg episodic return=7.78
timesteps=1866000 - 1867536, avg episodic return=10.00
timesteps=1865744 - 1867536, avg episodic return=10.00
timesteps=1867920 - 1869328, avg episodic return=10.00
timesteps=1867920 - 1869712, avg episodic return=10.67
timesteps=1868304 - 1869584, avg episodic return=10.00
timesteps=1867792 - 1869712, avg episodic return=10.00
timesteps=1867920 - 1869712, avg episodic return=10.00
timesteps=1869840 - 1871632, avg episodic return=10.71
timesteps=1869840 - 1871376, avg episodic return=10.00
timesteps=1869840 - 1871760, avg episodic return=11.00
timesteps=1870224 - 1871760, avg episodic return=10.00
timesteps=1870608 - 1871632, avg episodic return=10.00
timesteps=1872144 - 1873808, avg episodic return=11.11
timesteps=1871888 - 1873552, avg episodic return=10.00
timesteps=1871888 - 1873680, avg episodic return=11.11
timesteps=1871888 - 1873552, avg episodic return=10.00
timesteps=1871888 - 1873808, avg episodic return=10.00
timesteps=1874448 - 1875856, avg episodic return=10.00
timesteps=1873936 - 1875856, avg episodic return=10.00
timesteps=1873936 - 1875856, avg episodic return=11.67
timesteps=1874064 - 1875856, avg episodic return=9.29
timesteps=1874064 - 1875856, avg episodic return=10.77
timesteps=1876240 - 1877904, avg episodic return=10.00
timesteps=1875984 - 1877776, avg episodic return=10.00
timesteps=1875984 - 1877904, avg episodic return=10.00
timesteps=1876112 - 1877904, avg episodic return=10.00
timesteps=1876240 - 1877904, avg episodic return=10.00
timesteps=1878032 - 1879952, avg episodic return=10.00
timesteps=1878160 - 1879952, avg episodic return=10.00
timesteps=1878160 - 1879952, avg episodic return=10.77
timesteps=1878032 - 1879440, avg episodic return=10.91
timesteps=1878416 - 1879696, avg episodic return=10.00
timesteps=1880080 - 1882000, avg episodic return=9.17
timesteps=1880080 - 1882000, avg episodic return=9.33
timesteps=1880080 - 1881872, avg episodic return=8.75
timesteps=1880080 - 1882000, avg episodic return=10.00
timesteps=1880080 - 1881872, avg episodic return=10.77
timesteps=1882384 - 1884048, avg episodic return=10.00
timesteps=1882128 - 1884048, avg episodic return=10.83
timesteps=1882128 - 1883920, avg episodic return=10.00
timesteps=1882128 - 1884048, avg episodic return=9.29
timesteps=1882384 - 1884048, avg episodic return=10.00
timesteps=1885200 - 1885200, avg episodic return=10.00
timesteps=1884304 - 1885968, avg episodic return=10.00
timesteps=1884176 - 1885840, avg episodic return=10.00
timesteps=1884176 - 1886096, avg episodic return=10.00
timesteps=1884176 - 1886096, avg episodic return=9.00
timesteps=1886480 - 1888144, avg episodic return=10.00
timesteps=1886224 - 1887888, avg episodic return=10.00
timesteps=1886352 - 1888016, avg episodic return=10.00
timesteps=1886224 - 1888016, avg episodic return=10.00
timesteps=1886608 - 1888144, avg episodic return=10.00
timesteps=1888272 - 1889552, avg episodic return=10.00
timesteps=1888272 - 1890064, avg episodic return=9.09
timesteps=1888528 - 1889936, avg episodic return=8.57
timesteps=1888400 - 1890192, avg episodic return=9.38
timesteps=1888784 - 1890192, avg episodic return=10.00
timesteps=1890576 - 1892112, avg episodic return=10.00
timesteps=1890448 - 1892240, avg episodic return=10.00
timesteps=1890320 - 1892240, avg episodic return=11.00
timesteps=1890320 - 1892112, avg episodic return=10.91
timesteps=1890448 - 1892112, avg episodic return=10.00
timesteps=1892752 - 1894160, avg episodic return=10.00
timesteps=1892496 - 1894032, avg episodic return=9.00
timesteps=1892368 - 1894288, avg episodic return=10.00
timesteps=1892368 - 1894288, avg episodic return=10.00
timesteps=1892496 - 1894160, avg episodic return=10.00
timesteps=1894672 - 1895952, avg episodic return=7.78
timesteps=1894416 - 1895696, avg episodic return=10.00
timesteps=1894416 - 1895952, avg episodic return=10.00
timesteps=1894928 - 1896208, avg episodic return=10.00
timesteps=1894416 - 1896208, avg episodic return=11.11
timesteps=1896464 - 1898384, avg episodic return=10.00
timesteps=1896464 - 1898384, avg episodic return=9.38
timesteps=1896592 - 1898384, avg episodic return=10.00
timesteps=1896848 - 1898000, avg episodic return=10.00
timesteps=1896720 - 1898256, avg episodic return=8.33
timesteps=1898512 - 1900432, avg episodic return=9.17
timesteps=1898640 - 1899792, avg episodic return=10.00
timesteps=1898896 - 1900432, avg episodic return=10.00
timesteps=1898768 - 1900048, avg episodic return=10.00
timesteps=1898512 - 1900176, avg episodic return=10.00
timesteps=1900560 - 1902480, avg episodic return=10.00
timesteps=1900560 - 1901840, avg episodic return=10.00
timesteps=1900560 - 1902352, avg episodic return=10.00
timesteps=1900560 - 1902096, avg episodic return=10.00
timesteps=1900688 - 1902224, avg episodic return=9.00
timesteps=1902864 - 1903632, avg episodic return=12.00
timesteps=1903504 - 1904528, avg episodic return=10.00
timesteps=1903248 - 1904400, avg episodic return=10.00
timesteps=1902736 - 1904528, avg episodic return=10.67
timesteps=1903376 - 1904528, avg episodic return=10.00
timesteps=1904656 - 1906192, avg episodic return=10.00
timesteps=1904656 - 1906576, avg episodic return=10.00
timesteps=1905040 - 1906576, avg episodic return=10.00
timesteps=1904656 - 1906576, avg episodic return=8.89
timesteps=1905168 - 1906320, avg episodic return=8.33
timesteps=1906960 - 1908624, avg episodic return=8.75
timesteps=1906832 - 1908624, avg episodic return=10.00
timesteps=1907088 - 1908624, avg episodic return=8.75
timesteps=1906704 - 1908240, avg episodic return=10.00
timesteps=1906704 - 1908240, avg episodic return=12.00
timesteps=1908752 - 1910160, avg episodic return=10.00
timesteps=1908752 - 1910672, avg episodic return=12.00
timesteps=1909264 - 1910288, avg episodic return=10.00
timesteps=1908880 - 1910544, avg episodic return=10.00
timesteps=1909392 - 1909520, avg episodic return=10.00
timesteps=1910800 - 1912464, avg episodic return=10.00
timesteps=1910800 - 1912720, avg episodic return=10.00
timesteps=1910800 - 1912464, avg episodic return=10.83
timesteps=1910928 - 1912464, avg episodic return=10.00
timesteps=1910800 - 1912720, avg episodic return=8.46
timesteps=1912976 - 1914768, avg episodic return=10.00
timesteps=1912848 - 1914512, avg episodic return=10.00
timesteps=1913488 - 1914640, avg episodic return=10.00
timesteps=1912976 - 1914768, avg episodic return=10.00
timesteps=1912976 - 1914640, avg episodic return=10.00
timesteps=1914896 - 1916816, avg episodic return=10.00
timesteps=1915024 - 1916688, avg episodic return=10.00
timesteps=1915152 - 1916816, avg episodic return=11.11
timesteps=1914896 - 1916816, avg episodic return=10.00
timesteps=1914896 - 1916688, avg episodic return=10.00
timesteps=1916944 - 1918864, avg episodic return=10.71
timesteps=1916944 - 1918480, avg episodic return=10.77
timesteps=1916944 - 1918864, avg episodic return=10.00
timesteps=1916944 - 1918864, avg episodic return=8.89
timesteps=1916944 - 1918864, avg episodic return=10.83
timesteps=1919120 - 1920912, avg episodic return=10.00
timesteps=1919120 - 1920528, avg episodic return=10.00
timesteps=1918992 - 1920912, avg episodic return=10.00
timesteps=1919248 - 1920912, avg episodic return=10.00
timesteps=1919120 - 1920912, avg episodic return=10.00
timesteps=1921296 - 1922960, avg episodic return=11.25
timesteps=1921040 - 1922704, avg episodic return=10.00
timesteps=1921168 - 1922960, avg episodic return=10.00
timesteps=1921424 - 1922960, avg episodic return=10.00
timesteps=1921168 - 1922704, avg episodic return=10.00
timesteps=1923344 - 1925008, avg episodic return=10.00
timesteps=1923216 - 1925008, avg episodic return=10.00
timesteps=1923088 - 1925008, avg episodic return=11.54
timesteps=1923088 - 1924880, avg episodic return=10.00
timesteps=1923088 - 1924368, avg episodic return=10.00
timesteps=1925264 - 1926928, avg episodic return=11.25
timesteps=1925136 - 1927056, avg episodic return=10.00
timesteps=1925136 - 1927056, avg episodic return=10.00
timesteps=1925392 - 1926928, avg episodic return=10.00
timesteps=1925136 - 1927056, avg episodic return=10.77
timesteps=1927184 - 1929104, avg episodic return=11.11
timesteps=1927184 - 1929104, avg episodic return=10.00
timesteps=1927184 - 1928976, avg episodic return=10.00
timesteps=1927184 - 1928720, avg episodic return=10.00
timesteps=1927312 - 1929104, avg episodic return=7.50
timesteps=1929360 - 1931152, avg episodic return=10.71
timesteps=1929488 - 1931024, avg episodic return=10.00
timesteps=1929616 - 1931024, avg episodic return=10.00
timesteps=1929360 - 1931152, avg episodic return=10.00
timesteps=1929232 - 1931024, avg episodic return=10.00
timesteps=1931792 - 1933072, avg episodic return=10.83
timesteps=1931408 - 1933200, avg episodic return=10.91
timesteps=1931536 - 1933200, avg episodic return=8.57
timesteps=1931408 - 1933072, avg episodic return=8.89
timesteps=1931280 - 1932816, avg episodic return=10.00
