## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
timesteps=94352 - 96144, avg episodic return=10.00
timesteps=94224 - 96144, avg episodic return=8.89
timesteps=94352 - 95888, avg episodic return=10.00
timesteps=96528 - 98064, avg episodic return=6.25
timesteps=96272 - 96272, avg episodic return=10.00
timesteps=96272 - 98192, avg episodic return=10.00
timesteps=96912 - 96912, avg episodic return=10.00
timesteps=96400 - 97808, avg episodic return=9.17
timesteps=98448 - 98832, avg episodic return=15.00
timesteps=98832 - 100240, avg episodic return=8.33
timesteps=98320 - 100112, avg episodic return=11.67
timesteps=99600 - 99728, avg episodic return=10.00
timesteps=98448 - 99856, avg episodic return=11.25
timesteps=101264 - 102288, avg episodic return=10.00
timesteps=101008 - 102032, avg episodic return=13.33
timesteps=100496 - 102288, avg episodic return=7.14
timesteps=100368 - 102032, avg episodic return=7.50
timesteps=100368 - 102160, avg episodic return=12.50
timesteps=102416 - 102416, avg episodic return=0.00
timesteps=102544 - 104208, avg episodic return=12.50
timesteps=102416 - 104208, avg episodic return=8.00
timesteps=103056 - 103952, avg episodic return=11.25
timesteps=102416 - 104208, avg episodic return=10.00
timesteps=104848 - 105872, avg episodic return=12.50
timesteps=104976 - 105232, avg episodic return=10.00
timesteps=104592 - 106256, avg episodic return=8.57
timesteps=104464 - 106256, avg episodic return=5.00
timesteps=104464 - 106384, avg episodic return=10.00
timesteps=107280 - 108176, avg episodic return=10.00
timesteps=106512 - 108304, avg episodic return=10.00
timesteps=106512 - 108432, avg episodic return=10.00
timesteps=107152 - 108048, avg episodic return=10.00
timesteps=106512 - 108304, avg episodic return=10.00
timesteps=108688 - 110224, avg episodic return=11.00
timesteps=109072 - 109968, avg episodic return=10.00
timesteps=108816 - 110480, avg episodic return=10.00
timesteps=108688 - 109584, avg episodic return=10.00
timesteps=108560 - 110480, avg episodic return=8.75
timesteps=110736 - 111760, avg episodic return=10.00
timesteps=110608 - 112528, avg episodic return=10.00
timesteps=110736 - 112144, avg episodic return=10.00
timesteps=110608 - 112272, avg episodic return=10.00
timesteps=110608 - 112528, avg episodic return=10.00
timesteps=113424 - 113936, avg episodic return=13.33
timesteps=112784 - 114192, avg episodic return=10.00
timesteps=113040 - 114576, avg episodic return=10.00
timesteps=112656 - 113296, avg episodic return=15.00
timesteps=112656 - 114448, avg episodic return=10.00
timesteps=114960 - 116624, avg episodic return=10.00
timesteps=114832 - 114832, avg episodic return=10.00
timesteps=115216 - 116368, avg episodic return=11.25
timesteps=114960 - 116112, avg episodic return=10.00
timesteps=114832 - 116368, avg episodic return=11.25
timesteps=118032 - 118288, avg episodic return=10.00
timesteps=118160 - 118288, avg episodic return=10.00
timesteps=116752 - 118416, avg episodic return=10.00
timesteps=117008 - 118416, avg episodic return=10.00
timesteps=116752 - 118544, avg episodic return=11.43
timesteps=119184 - 120336, avg episodic return=10.00
timesteps=119952 - 120592, avg episodic return=10.00
timesteps=119184 - 120720, avg episodic return=10.00
timesteps=118800 - 120464, avg episodic return=10.00
timesteps=119824 - 120464, avg episodic return=10.00
timesteps=121232 - 122384, avg episodic return=10.00
timesteps=120848 - 122640, avg episodic return=8.33
timesteps=120848 - 122000, avg episodic return=10.00
timesteps=121616 - 122640, avg episodic return=10.00
timesteps=120976 - 122512, avg episodic return=8.00
timesteps=122896 - 124304, avg episodic return=8.57
timesteps=123280 - 124688, avg episodic return=12.00
timesteps=123152 - 124688, avg episodic return=10.00
timesteps=123152 - 124304, avg episodic return=10.00
timesteps=122896 - 124816, avg episodic return=8.33
timesteps=125456 - 126864, avg episodic return=10.00
timesteps=125328 - 126736, avg episodic return=8.33
timesteps=125072 - 126736, avg episodic return=10.00
timesteps=125200 - 126864, avg episodic return=11.43
timesteps=125200 - 126352, avg episodic return=10.00
timesteps=126992 - 128656, avg episodic return=10.00
timesteps=127632 - 128912, avg episodic return=11.67
timesteps=127248 - 128144, avg episodic return=8.00
timesteps=127120 - 128656, avg episodic return=8.57
timesteps=126992 - 128016, avg episodic return=10.00
timesteps=129040 - 130704, avg episodic return=13.33
timesteps=129040 - 130832, avg episodic return=7.14
timesteps=129296 - 130960, avg episodic return=10.00
timesteps=129168 - 130704, avg episodic return=9.23
timesteps=129296 - 130832, avg episodic return=10.00
timesteps=132240 - 132624, avg episodic return=10.00
timesteps=131728 - 133008, avg episodic return=10.00
timesteps=131344 - 133008, avg episodic return=10.00
timesteps=131344 - 132880, avg episodic return=8.89
timesteps=131088 - 132880, avg episodic return=10.00
