timesteps=21012 - 21364, avg discounted return=3.01
timesteps=21012 - 21268, avg discounted return=2.30
timesteps=21060 - 21492, avg discounted return=0.71
timesteps=21044 - 21396, avg discounted return=1.78
timesteps=21028 - 21444, avg discounted return=0.57
timesteps=21012 - 21444, avg discounted return=1.55
timesteps=21188 - 21444, avg discounted return=2.06
timesteps=21108 - 21444, avg discounted return=0.89
timesteps=21508 - 21940, avg discounted return=2.45
timesteps=21524 - 21716, avg discounted return=2.70
timesteps=21732 - 21908, avg discounted return=2.06
timesteps=21572 - 21748, avg discounted return=-0.07
timesteps=21780 - 21780, avg discounted return=2.99
timesteps=21572 - 21956, avg discounted return=-0.08
timesteps=21508 - 21988, avg discounted return=2.33
timesteps=21572 - 21940, avg discounted return=2.06
timesteps=21508 - 21812, avg discounted return=0.51
timesteps=22020 - 22420, avg discounted return=2.21
timesteps=22100 - 22356, avg discounted return=3.39
timesteps=22036 - 22516, avg discounted return=0.80
timesteps=22164 - 22292, avg discounted return=1.86
timesteps=22164 - 22340, avg discounted return=0.93
timesteps=22036 - 22036, avg discounted return=-0.04
timesteps=22148 - 22244, avg discounted return=2.05
timesteps=22068 - 22484, avg discounted return=0.92
timesteps=22052 - 22516, avg discounted return=2.26
timesteps=22084 - 22372, avg discounted return=0.93
timesteps=22628 - 22820, avg discounted return=0.80
timesteps=22628 - 23028, avg discounted return=3.40
timesteps=22724 - 22852, avg discounted return=1.41
timesteps=22676 - 23028, avg discounted return=2.01
timesteps=22548 - 22772, avg discounted return=1.45
timesteps=22532 - 22804, avg discounted return=1.46
timesteps=22564 - 22948, avg discounted return=2.51
timesteps=22564 - 22916, avg discounted return=2.82
timesteps=22580 - 22964, avg discounted return=3.23
timesteps=22564 - 22996, avg discounted return=1.49
timesteps=23092 - 23524, avg discounted return=2.02
timesteps=23044 - 23540, avg discounted return=3.13
timesteps=23140 - 23412, avg discounted return=1.91
timesteps=23124 - 23460, avg discounted return=0.80
timesteps=23236 - 23236, avg discounted return=-0.08
timesteps=23188 - 23428, avg discounted return=0.96
timesteps=23236 - 23492, avg discounted return=1.31
timesteps=23124 - 23524, avg discounted return=2.99
timesteps=23124 - 23508, avg discounted return=2.64
timesteps=23188 - 23396, avg discounted return=2.03
timesteps=23652 - 24004, avg discounted return=2.36
timesteps=23556 - 23860, avg discounted return=3.48
timesteps=23556 - 24004, avg discounted return=2.43
timesteps=23764 - 23764, avg discounted return=3.41
timesteps=23716 - 23876, avg discounted return=3.05
timesteps=23780 - 24052, avg discounted return=0.67
timesteps=23588 - 23908, avg discounted return=2.19
timesteps=23604 - 23956, avg discounted return=1.95
timesteps=23572 - 24052, avg discounted return=2.56
timesteps=23556 - 23908, avg discounted return=1.07
timesteps=24116 - 24484, avg discounted return=2.82
timesteps=24068 - 24356, avg discounted return=2.67
timesteps=24068 - 24532, avg discounted return=2.30
timesteps=24084 - 24548, avg discounted return=0.92
timesteps=24100 - 24404, avg discounted return=1.56
timesteps=24100 - 24532, avg discounted return=1.05
timesteps=24116 - 24452, avg discounted return=1.56
timesteps=24084 - 24548, avg discounted return=3.36
timesteps=24100 - 24500, avg discounted return=2.09
timesteps=24228 - 24548, avg discounted return=1.95
timesteps=24628 - 25044, avg discounted return=1.09
timesteps=24596 - 24980, avg discounted return=3.48
timesteps=24580 - 24980, avg discounted return=1.92
timesteps=24612 - 24964, avg discounted return=1.13
timesteps=24596 - 24980, avg discounted return=1.76
timesteps=24580 - 24772, avg discounted return=2.81
timesteps=24612 - 25044, avg discounted return=0.91
timesteps=24612 - 25012, avg discounted return=2.66
timesteps=24724 - 24964, avg discounted return=3.30
timesteps=24612 - 25012, avg discounted return=2.02
timesteps=25364 - 25476, avg discounted return=0.81
timesteps=25284 - 25540, avg discounted return=3.43
timesteps=25236 - 25556, avg discounted return=1.90
timesteps=25188 - 25540, avg discounted return=0.98
timesteps=25220 - 25588, avg discounted return=3.37
timesteps=25108 - 25204, avg discounted return=1.53
timesteps=25124 - 25524, avg discounted return=2.37
timesteps=25108 - 25428, avg discounted return=3.41
timesteps=25124 - 25476, avg discounted return=3.23
timesteps=25092 - 25540, avg discounted return=1.78
timesteps=25636 - 25956, avg discounted return=2.40
timesteps=25620 - 25988, avg discounted return=3.44
timesteps=25812 - 26052, avg discounted return=2.26
timesteps=25732 - 26052, avg discounted return=1.50
timesteps=25844 - 25956, avg discounted return=1.07
timesteps=25620 - 25700, avg discounted return=1.18
timesteps=25668 - 26100, avg discounted return=1.64
timesteps=25620 - 26084, avg discounted return=3.29
timesteps=25764 - 26020, avg discounted return=3.20
timesteps=25620 - 26068, avg discounted return=1.20
timesteps=26116 - 26596, avg discounted return=1.23
timesteps=26116 - 26596, avg discounted return=2.83
timesteps=26260 - 26564, avg discounted return=2.79
timesteps=26132 - 26548, avg discounted return=1.54
timesteps=26324 - 26548, avg discounted return=3.19
timesteps=26292 - 26500, avg discounted return=1.25
timesteps=26164 - 26564, avg discounted return=2.62
timesteps=26148 - 26436, avg discounted return=2.97
timesteps=26116 - 26596, avg discounted return=2.51
timesteps=26116 - 26500, avg discounted return=1.94
timesteps=26644 - 27044, avg discounted return=0.61
timesteps=26692 - 27044, avg discounted return=3.41
timesteps=26676 - 27108, avg discounted return=2.10
timesteps=26628 - 27124, avg discounted return=1.76
timesteps=26932 - 26932, avg discounted return=3.37
timesteps=26692 - 27108, avg discounted return=1.29
timesteps=26852 - 27076, avg discounted return=2.42
timesteps=26692 - 27124, avg discounted return=2.94
timesteps=26692 - 27108, avg discounted return=3.20
timesteps=26676 - 27076, avg discounted return=2.29
timesteps=27396 - 27604, avg discounted return=1.37
timesteps=27220 - 27588, avg discounted return=3.37
timesteps=27252 - 27588, avg discounted return=1.97
timesteps=27188 - 27540, avg discounted return=2.65
timesteps=27316 - 27460, avg discounted return=3.03
timesteps=27252 - 27572, avg discounted return=-0.07
timesteps=27268 - 27572, avg discounted return=3.31
timesteps=27140 - 27540, avg discounted return=2.76
timesteps=27268 - 27572, avg discounted return=3.39
timesteps=27140 - 27604, avg discounted return=1.38
timesteps=27668 - 28116, avg discounted return=1.22
timesteps=27732 - 28148, avg discounted return=3.38
timesteps=27716 - 28100, avg discounted return=1.90
timesteps=27700 - 28132, avg discounted return=2.18
timesteps=27652 - 27972, avg discounted return=2.66
timesteps=27668 - 27956, avg discounted return=0.38
timesteps=27684 - 28132, avg discounted return=2.67
timesteps=27668 - 28116, avg discounted return=2.85
timesteps=27748 - 28148, avg discounted return=3.37
timesteps=27684 - 28036, avg discounted return=2.13
timesteps=28180 - 28644, avg discounted return=1.96
timesteps=28212 - 28548, avg discounted return=3.35
timesteps=28260 - 28612, avg discounted return=2.34
timesteps=28324 - 28484, avg discounted return=3.04
timesteps=28260 - 28500, avg discounted return=3.39
