## SLURM PROLOG ###############################################################
##    Job ID : 8517585
##  Job Name : runs_rocksample_11_11_transformer
##  Nodelist : gpu2101
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 08:10:02 PM EST 2025
###############################################################################
obs (49,)
timesteps=1287208 - 1288136, avg episodic return=11.18
timesteps=1287176 - 1288072, avg episodic return=10.00
timesteps=1287176 - 1288104, avg episodic return=10.00
timesteps=1288200 - 1288552, avg episodic return=10.00
timesteps=1288200 - 1289192, avg episodic return=10.62
timesteps=1288200 - 1289096, avg episodic return=11.11
timesteps=1288232 - 1289096, avg episodic return=10.83
timesteps=1288328 - 1289128, avg episodic return=10.00
timesteps=1289352 - 1290184, avg episodic return=10.62
timesteps=1289224 - 1290120, avg episodic return=10.00
timesteps=1289384 - 1290216, avg episodic return=10.00
timesteps=1289256 - 1290216, avg episodic return=9.47
timesteps=1289256 - 1290216, avg episodic return=9.44
timesteps=1290248 - 1291240, avg episodic return=10.00
timesteps=1290312 - 1291240, avg episodic return=10.77
timesteps=1290280 - 1291176, avg episodic return=9.33
timesteps=1290280 - 1291240, avg episodic return=10.00
timesteps=1290344 - 1291176, avg episodic return=10.00
timesteps=1291304 - 1292168, avg episodic return=9.17
timesteps=1291336 - 1292264, avg episodic return=10.00
timesteps=1291304 - 1292200, avg episodic return=10.00
timesteps=1291368 - 1292200, avg episodic return=9.17
timesteps=1291432 - 1292072, avg episodic return=10.00
timesteps=1292328 - 1293256, avg episodic return=11.00
timesteps=1292392 - 1293192, avg episodic return=10.00
timesteps=1292392 - 1293192, avg episodic return=9.29
timesteps=1292392 - 1293192, avg episodic return=10.00
timesteps=1292296 - 1293288, avg episodic return=10.00
timesteps=1293416 - 1294312, avg episodic return=10.00
timesteps=1293512 - 1294152, avg episodic return=10.00
timesteps=1293352 - 1294280, avg episodic return=10.45
timesteps=1293480 - 1294248, avg episodic return=10.77
timesteps=1293320 - 1294248, avg episodic return=8.82
timesteps=1294344 - 1295336, avg episodic return=10.00
timesteps=1294376 - 1295272, avg episodic return=11.54
timesteps=1294344 - 1295304, avg episodic return=10.00
timesteps=1294440 - 1295304, avg episodic return=10.00
timesteps=1294376 - 1295112, avg episodic return=10.00
timesteps=1295496 - 1296296, avg episodic return=10.00
timesteps=1295432 - 1296328, avg episodic return=10.00
timesteps=1295432 - 1296296, avg episodic return=10.00
timesteps=1295400 - 1296296, avg episodic return=10.00
timesteps=1295432 - 1296296, avg episodic return=10.00
timesteps=1296520 - 1297352, avg episodic return=10.00
timesteps=1296488 - 1297352, avg episodic return=10.77
timesteps=1296488 - 1297384, avg episodic return=10.00
timesteps=1296456 - 1297384, avg episodic return=10.00
timesteps=1296488 - 1297352, avg episodic return=9.33
timesteps=1297448 - 1298376, avg episodic return=10.00
timesteps=1297448 - 1298408, avg episodic return=9.38
timesteps=1297416 - 1298408, avg episodic return=10.00
timesteps=1297480 - 1298408, avg episodic return=11.25
timesteps=1297512 - 1298408, avg episodic return=10.00
timesteps=1298440 - 1299400, avg episodic return=10.00
timesteps=1298472 - 1299368, avg episodic return=11.25
timesteps=1298536 - 1299432, avg episodic return=10.62
timesteps=1298472 - 1299400, avg episodic return=8.00
timesteps=1298440 - 1299432, avg episodic return=10.00
timesteps=1299464 - 1300456, avg episodic return=8.67
timesteps=1299496 - 1300424, avg episodic return=10.00
timesteps=1299464 - 1300456, avg episodic return=10.00
timesteps=1299496 - 1300456, avg episodic return=11.67
timesteps=1299528 - 1300392, avg episodic return=9.33
timesteps=1300488 - 1301480, avg episodic return=10.00
timesteps=1300520 - 1301480, avg episodic return=10.00
timesteps=1300488 - 1301448, avg episodic return=10.50
timesteps=1300488 - 1301416, avg episodic return=10.00
timesteps=1300488 - 1301416, avg episodic return=10.00
timesteps=1301608 - 1302440, avg episodic return=10.00
timesteps=1301544 - 1302504, avg episodic return=10.00
timesteps=1301576 - 1302504, avg episodic return=10.00
timesteps=1301672 - 1302472, avg episodic return=9.17
timesteps=1301576 - 1302408, avg episodic return=10.00
timesteps=1302568 - 1303528, avg episodic return=10.77
timesteps=1302632 - 1303432, avg episodic return=10.00
timesteps=1302600 - 1303528, avg episodic return=10.00
timesteps=1302632 - 1303464, avg episodic return=10.56
timesteps=1302536 - 1303528, avg episodic return=8.18
timesteps=1303752 - 1304488, avg episodic return=10.00
timesteps=1303816 - 1304488, avg episodic return=10.00
timesteps=1303560 - 1304552, avg episodic return=10.00
timesteps=1303816 - 1304552, avg episodic return=10.00
timesteps=1303656 - 1304520, avg episodic return=9.23
timesteps=1304616 - 1305544, avg episodic return=10.00
timesteps=1304616 - 1305576, avg episodic return=9.23
timesteps=1304680 - 1305576, avg episodic return=10.00
timesteps=1304648 - 1305576, avg episodic return=10.56
timesteps=1304584 - 1305544, avg episodic return=10.00
timesteps=1305608 - 1306600, avg episodic return=10.00
timesteps=1305896 - 1306504, avg episodic return=10.00
timesteps=1305640 - 1306504, avg episodic return=10.00
timesteps=1305608 - 1306504, avg episodic return=11.54
timesteps=1305672 - 1306600, avg episodic return=10.62
timesteps=1306696 - 1307560, avg episodic return=9.09
timesteps=1306632 - 1307592, avg episodic return=10.00
timesteps=1306664 - 1307624, avg episodic return=10.00
timesteps=1306632 - 1307624, avg episodic return=10.00
timesteps=1306632 - 1307592, avg episodic return=10.95
timesteps=1307656 - 1308584, avg episodic return=10.00
timesteps=1307688 - 1308616, avg episodic return=8.00
timesteps=1307688 - 1308520, avg episodic return=11.67
timesteps=1307688 - 1308648, avg episodic return=9.33
timesteps=1307656 - 1308584, avg episodic return=10.56
timesteps=1308712 - 1309672, avg episodic return=10.67
timesteps=1308776 - 1309640, avg episodic return=10.83
timesteps=1308776 - 1309480, avg episodic return=11.25
timesteps=1308776 - 1309640, avg episodic return=9.17
timesteps=1308712 - 1309672, avg episodic return=8.50
timesteps=1309736 - 1310504, avg episodic return=10.00
timesteps=1309704 - 1310600, avg episodic return=10.62
timesteps=1309704 - 1310600, avg episodic return=10.91
timesteps=1309768 - 1310696, avg episodic return=9.09
timesteps=1309704 - 1310632, avg episodic return=10.00
timesteps=1310728 - 1311720, avg episodic return=7.27
timesteps=1310888 - 1311624, avg episodic return=10.00
timesteps=1310728 - 1311720, avg episodic return=9.62
timesteps=1310728 - 1311592, avg episodic return=10.00
timesteps=1310728 - 1311624, avg episodic return=10.71
timesteps=1311752 - 1312680, avg episodic return=10.71
timesteps=1311784 - 1312744, avg episodic return=9.41
timesteps=1311784 - 1312712, avg episodic return=9.41
timesteps=1311944 - 1312744, avg episodic return=10.77
timesteps=1311848 - 1312680, avg episodic return=10.00
timesteps=1313064 - 1313288, avg episodic return=10.00
timesteps=1312808 - 1313768, avg episodic return=10.00
timesteps=1312808 - 1313768, avg episodic return=9.38
timesteps=1312776 - 1313768, avg episodic return=9.38
timesteps=1312776 - 1313736, avg episodic return=8.24
timesteps=1313800 - 1314568, avg episodic return=9.17
timesteps=1313800 - 1314632, avg episodic return=10.67
timesteps=1313800 - 1314760, avg episodic return=9.44
timesteps=1313800 - 1314568, avg episodic return=8.75
timesteps=1313832 - 1314792, avg episodic return=10.00
timesteps=1314888 - 1315816, avg episodic return=10.00
timesteps=1314824 - 1315816, avg episodic return=10.00
timesteps=1314856 - 1315720, avg episodic return=10.00
timesteps=1314856 - 1315784, avg episodic return=10.83
timesteps=1314856 - 1315784, avg episodic return=10.53
timesteps=1315912 - 1316840, avg episodic return=10.00
timesteps=1316040 - 1316744, avg episodic return=8.75
timesteps=1315848 - 1316776, avg episodic return=10.00
timesteps=1315848 - 1316488, avg episodic return=10.00
timesteps=1315880 - 1316744, avg episodic return=10.59
timesteps=1316872 - 1317832, avg episodic return=10.00
timesteps=1317000 - 1317704, avg episodic return=11.11
timesteps=1316872 - 1317832, avg episodic return=10.00
timesteps=1316872 - 1317768, avg episodic return=9.17
timesteps=1316872 - 1317832, avg episodic return=10.00
timesteps=1317928 - 1318856, avg episodic return=11.54
timesteps=1317896 - 1318888, avg episodic return=12.22
timesteps=1317960 - 1318824, avg episodic return=10.00
timesteps=1318088 - 1318888, avg episodic return=10.00
timesteps=1317960 - 1318856, avg episodic return=10.91
timesteps=1318920 - 1319848, avg episodic return=10.00
timesteps=1318952 - 1319912, avg episodic return=9.33
timesteps=1318920 - 1319912, avg episodic return=9.38
timesteps=1318952 - 1319880, avg episodic return=10.00
timesteps=1318952 - 1319848, avg episodic return=9.29
timesteps=1320104 - 1320936, avg episodic return=9.23
timesteps=1320008 - 1320904, avg episodic return=10.00
timesteps=1319944 - 1320808, avg episodic return=10.00
timesteps=1319976 - 1320840, avg episodic return=10.00
timesteps=1319944 - 1320936, avg episodic return=10.77
timesteps=1321064 - 1321960, avg episodic return=9.33
timesteps=1321064 - 1321928, avg episodic return=10.83
timesteps=1321000 - 1321960, avg episodic return=10.62
timesteps=1321096 - 1321960, avg episodic return=9.17
timesteps=1321064 - 1321928, avg episodic return=8.89
timesteps=1322152 - 1322984, avg episodic return=10.00
timesteps=1322120 - 1322728, avg episodic return=10.71
timesteps=1321992 - 1322920, avg episodic return=9.47
timesteps=1321992 - 1322920, avg episodic return=8.57
timesteps=1322088 - 1322984, avg episodic return=9.38
timesteps=1323016 - 1323976, avg episodic return=9.29
timesteps=1323016 - 1323880, avg episodic return=10.50
timesteps=1323048 - 1324008, avg episodic return=10.00
timesteps=1323080 - 1323976, avg episodic return=10.00
timesteps=1323112 - 1323976, avg episodic return=10.00
timesteps=1324104 - 1324936, avg episodic return=10.00
timesteps=1324040 - 1325032, avg episodic return=8.57
timesteps=1324040 - 1324904, avg episodic return=8.89
timesteps=1324200 - 1324872, avg episodic return=10.00
timesteps=1324040 - 1324936, avg episodic return=10.00
timesteps=1325096 - 1326056, avg episodic return=9.00
timesteps=1325224 - 1326024, avg episodic return=11.43
timesteps=1325160 - 1326056, avg episodic return=11.00
timesteps=1325064 - 1325928, avg episodic return=8.57
timesteps=1325128 - 1325832, avg episodic return=10.00
timesteps=1326120 - 1327048, avg episodic return=9.17
timesteps=1326120 - 1326984, avg episodic return=10.00
timesteps=1326248 - 1327016, avg episodic return=8.46
timesteps=1326088 - 1327048, avg episodic return=10.45
timesteps=1326152 - 1327016, avg episodic return=10.53
timesteps=1327112 - 1328072, avg episodic return=10.71
timesteps=1327176 - 1328104, avg episodic return=9.33
timesteps=1327112 - 1328008, avg episodic return=10.00
timesteps=1327208 - 1328072, avg episodic return=10.77
timesteps=1327240 - 1328040, avg episodic return=10.00
timesteps=1328168 - 1329064, avg episodic return=8.75
timesteps=1328264 - 1329032, avg episodic return=10.83
timesteps=1328136 - 1329032, avg episodic return=10.00
timesteps=1328136 - 1329128, avg episodic return=9.62
timesteps=1328200 - 1329064, avg episodic return=10.00
timesteps=1329224 - 1330152, avg episodic return=10.00
timesteps=1329192 - 1330152, avg episodic return=9.17
timesteps=1329160 - 1330056, avg episodic return=10.59
timesteps=1329192 - 1330024, avg episodic return=10.00
timesteps=1329192 - 1330088, avg episodic return=10.00
timesteps=1330184 - 1331144, avg episodic return=10.00
timesteps=1330344 - 1331080, avg episodic return=11.43
timesteps=1330216 - 1331176, avg episodic return=11.43
timesteps=1330184 - 1331112, avg episodic return=10.53
timesteps=1330216 - 1331144, avg episodic return=10.71
timesteps=1331208 - 1332072, avg episodic return=7.62
timesteps=1331208 - 1332200, avg episodic return=10.00
timesteps=1331272 - 1332200, avg episodic return=7.86
timesteps=1331240 - 1332008, avg episodic return=10.00
timesteps=1331368 - 1332200, avg episodic return=8.75
timesteps=1332232 - 1333224, avg episodic return=10.53
timesteps=1332264 - 1333096, avg episodic return=10.71
timesteps=1332296 - 1333128, avg episodic return=10.00
timesteps=1332232 - 1333160, avg episodic return=10.00
timesteps=1332232 - 1333224, avg episodic return=10.00
timesteps=1333384 - 1334216, avg episodic return=10.00
timesteps=1333320 - 1334248, avg episodic return=9.33
timesteps=1333256 - 1334248, avg episodic return=10.00
timesteps=1333256 - 1334216, avg episodic return=10.53
timesteps=1333256 - 1334120, avg episodic return=9.41
timesteps=1334408 - 1335240, avg episodic return=10.00
timesteps=1334280 - 1335272, avg episodic return=11.33
timesteps=1334312 - 1335240, avg episodic return=10.00
timesteps=1334344 - 1335208, avg episodic return=10.71
timesteps=1334280 - 1335272, avg episodic return=10.00
timesteps=1335336 - 1336296, avg episodic return=11.00
timesteps=1335336 - 1336264, avg episodic return=8.57
timesteps=1335432 - 1336296, avg episodic return=10.53
timesteps=1335304 - 1336200, avg episodic return=8.00
timesteps=1335368 - 1336296, avg episodic return=10.00
timesteps=1336392 - 1337320, avg episodic return=10.00
timesteps=1336328 - 1337288, avg episodic return=8.89
timesteps=1336456 - 1337288, avg episodic return=10.00
timesteps=1336488 - 1337160, avg episodic return=10.00
timesteps=1336328 - 1337192, avg episodic return=10.00
timesteps=1337352 - 1338312, avg episodic return=9.29
timesteps=1337416 - 1338312, avg episodic return=9.09
timesteps=1337352 - 1338248, avg episodic return=10.59
timesteps=1337352 - 1338312, avg episodic return=11.76
timesteps=1337352 - 1338280, avg episodic return=10.00
timesteps=1338376 - 1339208, avg episodic return=10.00
timesteps=1338376 - 1339368, avg episodic return=9.17
timesteps=1338408 - 1339368, avg episodic return=10.00
timesteps=1338408 - 1339368, avg episodic return=10.62
timesteps=1338408 - 1339336, avg episodic return=10.00
timesteps=1339432 - 1340360, avg episodic return=10.59
timesteps=1339592 - 1340296, avg episodic return=9.17
timesteps=1339432 - 1340392, avg episodic return=11.43
timesteps=1339528 - 1340328, avg episodic return=10.00
timesteps=1339400 - 1340360, avg episodic return=11.05
timesteps=1340424 - 1341416, avg episodic return=8.89
timesteps=1340424 - 1341288, avg episodic return=10.00
timesteps=1340488 - 1341384, avg episodic return=10.00
timesteps=1340424 - 1341224, avg episodic return=10.00
timesteps=1340424 - 1341384, avg episodic return=10.00
timesteps=1341512 - 1342216, avg episodic return=10.00
timesteps=1341480 - 1342440, avg episodic return=10.77
timesteps=1341512 - 1342440, avg episodic return=10.00
timesteps=1341640 - 1342376, avg episodic return=10.00
timesteps=1341512 - 1342408, avg episodic return=10.00
timesteps=1342536 - 1343464, avg episodic return=10.59
timesteps=1342696 - 1343400, avg episodic return=10.00
timesteps=1342504 - 1343432, avg episodic return=9.38
timesteps=1342568 - 1343432, avg episodic return=9.29
timesteps=1342504 - 1343400, avg episodic return=9.17
timesteps=1343528 - 1344488, avg episodic return=9.38
timesteps=1343880 - 1344488, avg episodic return=9.09
timesteps=1343496 - 1344328, avg episodic return=10.00
timesteps=1343496 - 1344488, avg episodic return=10.00
timesteps=1343496 - 1344488, avg episodic return=9.55
timesteps=1344552 - 1345256, avg episodic return=10.62
timesteps=1344520 - 1345512, avg episodic return=10.00
timesteps=1344520 - 1345352, avg episodic return=10.71
timesteps=1344520 - 1345512, avg episodic return=10.00
timesteps=1344616 - 1345384, avg episodic return=10.67
timesteps=1345672 - 1346408, avg episodic return=10.00
timesteps=1345544 - 1346472, avg episodic return=10.00
timesteps=1345544 - 1346440, avg episodic return=8.12
timesteps=1345576 - 1346536, avg episodic return=9.50
timesteps=1345608 - 1346504, avg episodic return=10.53
timesteps=1346600 - 1347496, avg episodic return=10.00
timesteps=1346568 - 1347560, avg episodic return=10.00
timesteps=1346632 - 1347560, avg episodic return=10.00
timesteps=1346568 - 1347560, avg episodic return=10.00
timesteps=1346568 - 1347528, avg episodic return=10.00
timesteps=1347720 - 1348552, avg episodic return=12.00
timesteps=1347592 - 1348520, avg episodic return=8.33
timesteps=1347624 - 1348584, avg episodic return=10.71
timesteps=1347656 - 1348584, avg episodic return=8.67
timesteps=1347656 - 1348552, avg episodic return=10.00
timesteps=1348648 - 1349608, avg episodic return=10.00
timesteps=1348744 - 1349608, avg episodic return=10.00
timesteps=1348648 - 1349608, avg episodic return=10.59
timesteps=1348616 - 1349608, avg episodic return=10.00
timesteps=1348648 - 1349576, avg episodic return=9.38
timesteps=1349672 - 1350600, avg episodic return=10.71
timesteps=1349640 - 1350600, avg episodic return=11.67
timesteps=1349672 - 1350632, avg episodic return=10.83
timesteps=1349800 - 1350632, avg episodic return=9.17
timesteps=1349672 - 1350632, avg episodic return=10.00
timesteps=1350696 - 1351656, avg episodic return=10.00
timesteps=1350728 - 1351656, avg episodic return=10.83
timesteps=1350920 - 1351496, avg episodic return=10.00
timesteps=1350792 - 1351656, avg episodic return=10.00
timesteps=1350728 - 1351624, avg episodic return=10.00
timesteps=1351880 - 1352648, avg episodic return=10.00
timesteps=1351688 - 1352648, avg episodic return=10.00
timesteps=1351688 - 1352520, avg episodic return=10.59
timesteps=1351688 - 1352680, avg episodic return=8.67
timesteps=1351848 - 1352680, avg episodic return=10.00
timesteps=1352840 - 1353640, avg episodic return=9.00
timesteps=1352712 - 1353704, avg episodic return=10.00
timesteps=1352712 - 1353704, avg episodic return=10.00
timesteps=1352712 - 1353672, avg episodic return=10.00
timesteps=1352808 - 1353704, avg episodic return=10.00
timesteps=1353768 - 1354408, avg episodic return=9.33
timesteps=1353800 - 1354696, avg episodic return=8.95
timesteps=1353768 - 1354664, avg episodic return=9.23
timesteps=1353736 - 1354728, avg episodic return=9.44
timesteps=1353832 - 1354728, avg episodic return=10.00
timesteps=1354760 - 1355720, avg episodic return=10.00
timesteps=1354856 - 1355688, avg episodic return=9.23
timesteps=1354792 - 1355720, avg episodic return=10.00
timesteps=1354760 - 1355752, avg episodic return=10.77
timesteps=1354760 - 1355656, avg episodic return=10.77
timesteps=1355848 - 1356680, avg episodic return=10.00
timesteps=1355784 - 1356776, avg episodic return=10.00
timesteps=1355816 - 1356616, avg episodic return=9.33
timesteps=1355848 - 1356744, avg episodic return=10.00
timesteps=1355848 - 1356776, avg episodic return=10.00
timesteps=1356808 - 1357768, avg episodic return=11.43
timesteps=1356808 - 1357640, avg episodic return=9.09
timesteps=1356904 - 1357800, avg episodic return=10.56
timesteps=1356808 - 1357736, avg episodic return=9.23
timesteps=1356808 - 1357736, avg episodic return=10.00
timesteps=1357832 - 1358824, avg episodic return=11.33
timesteps=1357928 - 1358760, avg episodic return=11.11
timesteps=1357864 - 1358824, avg episodic return=10.00
timesteps=1357832 - 1358760, avg episodic return=10.77
timesteps=1357832 - 1358760, avg episodic return=10.00
timesteps=1358952 - 1359816, avg episodic return=10.67
timesteps=1358888 - 1359816, avg episodic return=9.38
timesteps=1358856 - 1359656, avg episodic return=10.00
timesteps=1358888 - 1359848, avg episodic return=9.00
timesteps=1359016 - 1359784, avg episodic return=11.43
timesteps=1359880 - 1360872, avg episodic return=10.00
timesteps=1359912 - 1360776, avg episodic return=10.00
timesteps=1359880 - 1360872, avg episodic return=9.23
timesteps=1359912 - 1360776, avg episodic return=11.43
timesteps=1359880 - 1360872, avg episodic return=10.00
timesteps=1360936 - 1361896, avg episodic return=10.59
timesteps=1360936 - 1361896, avg episodic return=9.44
timesteps=1360904 - 1361896, avg episodic return=10.00
timesteps=1360904 - 1361896, avg episodic return=10.67
timesteps=1360968 - 1361800, avg episodic return=10.00
timesteps=1361928 - 1362824, avg episodic return=10.00
timesteps=1361960 - 1362824, avg episodic return=10.00
timesteps=1362088 - 1362920, avg episodic return=10.00
timesteps=1362024 - 1362856, avg episodic return=9.41
timesteps=1362120 - 1362920, avg episodic return=10.00
timesteps=1363048 - 1363944, avg episodic return=10.83
timesteps=1362984 - 1363944, avg episodic return=10.00
timesteps=1362952 - 1363944, avg episodic return=10.62
timesteps=1363016 - 1363944, avg episodic return=10.00
timesteps=1362952 - 1363944, avg episodic return=10.00
timesteps=1363976 - 1364936, avg episodic return=10.48
timesteps=1364072 - 1364968, avg episodic return=11.00
timesteps=1363976 - 1364968, avg episodic return=10.00
timesteps=1364040 - 1364936, avg episodic return=10.56
timesteps=1364040 - 1364936, avg episodic return=10.91
timesteps=1365192 - 1365672, avg episodic return=11.43
timesteps=1365064 - 1365992, avg episodic return=10.00
timesteps=1365000 - 1365832, avg episodic return=10.00
timesteps=1365096 - 1365736, avg episodic return=8.33
timesteps=1365032 - 1365992, avg episodic return=10.62
timesteps=1366056 - 1366952, avg episodic return=9.09
timesteps=1366088 - 1366984, avg episodic return=10.00
timesteps=1366024 - 1366952, avg episodic return=8.67
timesteps=1366088 - 1366984, avg episodic return=10.00
timesteps=1366152 - 1366984, avg episodic return=10.00
timesteps=1367048 - 1368040, avg episodic return=11.58
timesteps=1367048 - 1368040, avg episodic return=9.47
timesteps=1367144 - 1368040, avg episodic return=8.75
timesteps=1367048 - 1368008, avg episodic return=10.00
timesteps=1367080 - 1367912, avg episodic return=10.00
timesteps=1368168 - 1369032, avg episodic return=10.00
timesteps=1368072 - 1369032, avg episodic return=10.00
timesteps=1368072 - 1369064, avg episodic return=10.00
timesteps=1368328 - 1369064, avg episodic return=9.00
timesteps=1368104 - 1369064, avg episodic return=9.17
timesteps=1369096 - 1370056, avg episodic return=10.00
timesteps=1369160 - 1370056, avg episodic return=9.23
timesteps=1369128 - 1370088, avg episodic return=10.00
timesteps=1369096 - 1369896, avg episodic return=9.09
timesteps=1369128 - 1370056, avg episodic return=10.00
timesteps=1370184 - 1371080, avg episodic return=10.83
timesteps=1370152 - 1371016, avg episodic return=10.00
timesteps=1370152 - 1371080, avg episodic return=12.00
timesteps=1370120 - 1371112, avg episodic return=10.00
timesteps=1370152 - 1371048, avg episodic return=10.77
timesteps=1371304 - 1372008, avg episodic return=11.25
timesteps=1371144 - 1372040, avg episodic return=10.00
timesteps=1371144 - 1372136, avg episodic return=11.33
timesteps=1371176 - 1372136, avg episodic return=10.00
timesteps=1371144 - 1372136, avg episodic return=10.00
timesteps=1372168 - 1373000, avg episodic return=10.00
timesteps=1372200 - 1373128, avg episodic return=10.56
timesteps=1372264 - 1373096, avg episodic return=10.83
timesteps=1372168 - 1373000, avg episodic return=9.41
timesteps=1372232 - 1373096, avg episodic return=10.77
timesteps=1373256 - 1374120, avg episodic return=10.00
timesteps=1373224 - 1374088, avg episodic return=10.00
timesteps=1373192 - 1374184, avg episodic return=9.41
timesteps=1373544 - 1374184, avg episodic return=10.00
timesteps=1373192 - 1374120, avg episodic return=8.89
timesteps=1374216 - 1375208, avg episodic return=10.00
timesteps=1374280 - 1375176, avg episodic return=10.71
timesteps=1374280 - 1375144, avg episodic return=10.00
timesteps=1374216 - 1375208, avg episodic return=9.33
timesteps=1374216 - 1375080, avg episodic return=9.41
timesteps=1375304 - 1376200, avg episodic return=9.23
timesteps=1375240 - 1376104, avg episodic return=10.71
timesteps=1375336 - 1376232, avg episodic return=10.00
timesteps=1375240 - 1376136, avg episodic return=9.47
timesteps=1375240 - 1376232, avg episodic return=10.00
timesteps=1376264 - 1377224, avg episodic return=10.00
timesteps=1376296 - 1377256, avg episodic return=10.71
timesteps=1376424 - 1377224, avg episodic return=10.00
timesteps=1376328 - 1377256, avg episodic return=10.00
timesteps=1376264 - 1377192, avg episodic return=9.17
timesteps=1377288 - 1378248, avg episodic return=10.67
timesteps=1377288 - 1378120, avg episodic return=9.29
timesteps=1377288 - 1378216, avg episodic return=10.00
timesteps=1377384 - 1378280, avg episodic return=10.83
timesteps=1377288 - 1378280, avg episodic return=10.00
timesteps=1378344 - 1379208, avg episodic return=9.47
timesteps=1378376 - 1379208, avg episodic return=10.00
timesteps=1378344 - 1379304, avg episodic return=9.17
timesteps=1378408 - 1379304, avg episodic return=10.00
timesteps=1378312 - 1379304, avg episodic return=10.00
timesteps=1379400 - 1380264, avg episodic return=11.25
timesteps=1379336 - 1380104, avg episodic return=10.00
timesteps=1379336 - 1380296, avg episodic return=9.47
timesteps=1379368 - 1380296, avg episodic return=10.00
timesteps=1379368 - 1380232, avg episodic return=8.89
timesteps=1380360 - 1381352, avg episodic return=10.00
timesteps=1380392 - 1381352, avg episodic return=9.41
timesteps=1380360 - 1381320, avg episodic return=10.00
timesteps=1380360 - 1381256, avg episodic return=10.77
timesteps=1380360 - 1381352, avg episodic return=10.00
timesteps=1381512 - 1382376, avg episodic return=11.11
timesteps=1381512 - 1382344, avg episodic return=10.00
timesteps=1381448 - 1382312, avg episodic return=10.91
timesteps=1381512 - 1382376, avg episodic return=11.43
timesteps=1381384 - 1382344, avg episodic return=10.67
timesteps=1382472 - 1383400, avg episodic return=10.48
timesteps=1382568 - 1383304, avg episodic return=10.00
timesteps=1382440 - 1383368, avg episodic return=8.57
timesteps=1382440 - 1383368, avg episodic return=10.00
timesteps=1382440 - 1383336, avg episodic return=10.00
timesteps=1383464 - 1384424, avg episodic return=9.29
timesteps=1383464 - 1384424, avg episodic return=10.00
timesteps=1383560 - 1384424, avg episodic return=9.29
timesteps=1383496 - 1384296, avg episodic return=10.91
timesteps=1383432 - 1384264, avg episodic return=10.00
timesteps=1384520 - 1385256, avg episodic return=11.25
timesteps=1384456 - 1385384, avg episodic return=10.00
timesteps=1384520 - 1385384, avg episodic return=10.67
timesteps=1384488 - 1385448, avg episodic return=10.53
timesteps=1384520 - 1385448, avg episodic return=9.44
timesteps=1385480 - 1386344, avg episodic return=8.75
timesteps=1385480 - 1386472, avg episodic return=9.23
timesteps=1385480 - 1386472, avg episodic return=9.38
timesteps=1385480 - 1386472, avg episodic return=10.53
timesteps=1385544 - 1386472, avg episodic return=10.00
timesteps=1386568 - 1387464, avg episodic return=10.00
timesteps=1386568 - 1387496, avg episodic return=10.00
timesteps=1386632 - 1387496, avg episodic return=10.77
timesteps=1386504 - 1387432, avg episodic return=9.44
timesteps=1386536 - 1387272, avg episodic return=8.57
timesteps=1387656 - 1388520, avg episodic return=9.23
timesteps=1387592 - 1388456, avg episodic return=8.46
timesteps=1387528 - 1388488, avg episodic return=10.56
timesteps=1387528 - 1388520, avg episodic return=10.00
timesteps=1387592 - 1388456, avg episodic return=10.00
timesteps=1388584 - 1389544, avg episodic return=9.29
timesteps=1388616 - 1389480, avg episodic return=10.00
timesteps=1388552 - 1389544, avg episodic return=10.00
timesteps=1388552 - 1389448, avg episodic return=10.00
timesteps=1388584 - 1389512, avg episodic return=10.00
timesteps=1389640 - 1390568, avg episodic return=10.59
timesteps=1389576 - 1390568, avg episodic return=9.47
timesteps=1389704 - 1390536, avg episodic return=10.00
timesteps=1389608 - 1390568, avg episodic return=10.00
timesteps=1389608 - 1390536, avg episodic return=10.00
timesteps=1390728 - 1391560, avg episodic return=10.00
timesteps=1390600 - 1391528, avg episodic return=10.00
timesteps=1390664 - 1391432, avg episodic return=9.09
timesteps=1390664 - 1391592, avg episodic return=8.82
timesteps=1390760 - 1391592, avg episodic return=10.00
timesteps=1391720 - 1392616, avg episodic return=10.00
timesteps=1391688 - 1392456, avg episodic return=10.62
timesteps=1391720 - 1392584, avg episodic return=10.67
timesteps=1391752 - 1392488, avg episodic return=10.00
timesteps=1391816 - 1392616, avg episodic return=10.00
timesteps=1392680 - 1393640, avg episodic return=10.00
timesteps=1392712 - 1393640, avg episodic return=10.00
timesteps=1392872 - 1393608, avg episodic return=9.17
timesteps=1392648 - 1393608, avg episodic return=10.00
timesteps=1392712 - 1393608, avg episodic return=10.53
timesteps=1393672 - 1394632, avg episodic return=10.00
timesteps=1393768 - 1394568, avg episodic return=10.00
timesteps=1393704 - 1394472, avg episodic return=10.00
timesteps=1393672 - 1394536, avg episodic return=9.41
timesteps=1393704 - 1394568, avg episodic return=10.62
timesteps=1394760 - 1395592, avg episodic return=10.00
timesteps=1394696 - 1395688, avg episodic return=10.62
timesteps=1394728 - 1395656, avg episodic return=10.00
timesteps=1394728 - 1395656, avg episodic return=9.29
timesteps=1394856 - 1395688, avg episodic return=10.00
timesteps=1395816 - 1396712, avg episodic return=10.00
timesteps=1395880 - 1396712, avg episodic return=10.59
timesteps=1395752 - 1396616, avg episodic return=10.00
timesteps=1395976 - 1396616, avg episodic return=10.83
